linear_b,greek_cognates,dubious,explanation,translation
ai-za,αιζαι|αιγαι,,"Included both forms, with 'ζ' and 'γ'. Removed parentheses.",place name
a-ja-me-na,αιασμενα,,First word from the pair. Removed accent from 'έ'.,inscribed/ decorated
a-ja-me-no,αιασμενος,,Second word from the pair. Removed accent from 'έ'.,inscribed/ decorated
a-ka-ma-no,αλκμανωρ,,Removed capital letter from 'Α'.,personal name
a-ka-ra-no,ακαρανος,,No changes needed as it has no accents or special characters.,(>άκαρα= legs/ kara= head)
a-ka-si-jo-ne,ακασιονει|ακασιον,,"Removed accents from 'ό'. Included both forms, with and without 'ει', as per handling of parenthetical elements in Greek cognates.",place name
a-ka-ta-jo,ακταιος,,Removed capital letter and accent from 'Α'.,personal name
a-ka-wo,αχαιfος|αχαιος,,"Removed accent from 'ό'. Converted digamma 'F' to lowercase 'f'. Included both forms, with and without digamma conversion.",personal/ ethnic name of 'Ahaivia'
a-ke,αγει|αγω,,First word from the pair. Removed accent from 'ά'.,to send
a-ke-e,αγειν,,Second word from the pair. Removed accent from 'ά'.,to send
a-ke-o-jo,αργειοιο,,Removed accent from 'έ'.,ethnic name of 'Argos'
a-ke-jo,αργειος,,Removed accent from 'έ'.,ethnic name of 'Argos'
a-ke-ra-wo,αρχελαfος|αρχελαfων,,Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'. The Linear B 'a-ke-ra-wo' corresponds to Greek 'αρχελαfος' or 'αρχελαfων'.,personal name
a-ke-re,αγειρει|αγειρειν|αγειρω,,Removed accents from 'έ'. The Linear B 'a-ke-re' corresponds to Greek 'αγειρει(ν)(αγειρω)'.,to gather together/collect
a-ke-re-u,αγρευς,,First word from the pair. Removed accent from 'έ'.,place name
a-ke-re-u-te,αγρευθεν,,Second word from the pair. Removed accent from 'έ'.,place name
a-ke-re-wa,αγρεfα,,First word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,place name (fem. of 'Agreus'?)
a-ke-re-wa-de,αγρεfανδε,,Second word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,place name (fem. of 'Agreus'?)
a-ke-re-we,αγρεfα,,Third word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,place name (fem. of 'Agreus'?)
a-ke-re-wi-jo,αγρεfιος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,ethnic name of 'Agrefa'
a-ke-ro,αγγελος,,Removed accent from 'ά'.,messenger
a-ke-ro,αχερων,,Removed accent from 'έ'. The Linear B 'a-ke-ro' corresponds to Greek 'αχερων'.,personal name (also modern river)
a-ke-te-re,αγετερες|ασκετερες,,Multiple possible cognates. Removed all accents. The Linear B 'a-ke-te-re' can correspond to either 'αγετερες' or 'ασκετερες'.,official title/ occupation (see also 'asketreiai')
a-ke-ti-rya,ασκητριαων|ασκητριαι,,"First word from the pair, without the optional 'o'. Removed accent from 'ά'. The Linear B 'a-ke-ti-rya' can correspond to either 'ασκητριαων' or 'ασκητριαι'.",decorators? (fem.) (>ασκέω/ασκώ= to work)
a-ke-ti-rya-o,ασκητριαων|ασκητριαι,,"Second word from the pair, with the optional 'o'. Removed accent from 'ά'. The Linear B 'a-ke-ti-rya-o' can correspond to either 'ασκητριαων' or 'ασκητριαι'.",decorators? (fem.) (>ασκέω/ασκώ= to work)
a-ke-ti-ri-ja,ασκητριαων|ασκητριαι,,Third word from the pair. Removed accent from 'ά'. The Linear B 'a-ke-ti-ri-ja' can correspond to either 'ασκητριαων' or 'ασκητριαι'.,decorators? (fem.) (>ασκέω/ασκώ= to work)
a-ke-ti-ri-ja-i,ασκητριαων|ασκητριαι,,Fourth word from the pair. Removed accent from 'ά'. The Linear B 'a-ke-ti-ri-ja-i' can correspond to either 'ασκητριαων' or 'ασκητριαι'.,decorators? (fem.) (>ασκέω/ασκώ= to work)
a-ke-u,αλκευς,,First word from the pair. Removed capital letter.,personal name
a-ke-wo,αλκευς,,Second word from the pair. Removed capital letter.,personal name
a-ki-ha-ri-ja-de,αιγιhαλιανδε|αιγιhαλια,,"Handling parentheses: included both forms inside and outside the parentheses. The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.",place name
a-ki-re-u,αχιλευς,,First word from the pair. Removed capital letter.,personal name
a-ki-re-we,αχιλευς,,Second word from the pair. Removed capital letter.,personal name
a-ki-ti-to,ακτιστος,,Removed accent from 'ά'.,"'untitled?' (>κτίσις= founding, settling)"
a-ko,αγος|αγκος,,Multiple possible cognates. Removed accent from 'ά'. The Linear B 'a-ko' can correspond to either 'αγος' or 'αγκος'.,"holy place/grove, valley (see 'ti-mi- to-a-ke-e')"
a-ko-ra,αγορα,,Removed accent from 'ά'. The Linear B 'a-ko-ra' corresponds to Greek 'αγορά'.,assembly >market place
a-ko-ra-ja,αγοραια,,First word from the pair. Removed accent from 'α'. The Linear B 'a-ko-ra-ja' corresponds to Greek 'αγοραια'.,used for communal purposes (see also 'agora')
a-ko-ra-jo,αγοραιος,,Second word from the pair. Removed accent from 'α'. The Linear B 'a-ko-ra-jo' corresponds to Greek 'αγοραιοσ'.,used for communal purposes (see also 'agora')
a-ko-ro,αγρος,,First word from the pair. No changes needed.,field
a-ko-ro-we,αγρος,,Second word from the pair. No changes needed.,field
a-ko-so-ne,αξονες,,Removed accent from 'ά'.,axles
a-ko-so-ta,αξοτας,,First word from the pair. No changes needed as it has no accents or special characters.,personal name
a-ko-so-ta-o,αξοταο,,Second word from the pair. No changes needed as it has no accents or special characters.,personal name
a-ko-te-u,αργοθευς,,No changes were needed to the Greek cognate. The Linear B 'a-ko-te-u' corresponds to Greek 'αργοθευς'.,personal name
a-ko-to,ακτωρ|αχθων,,Multiple possible cognates. Removed accent from 'Ά'. The Linear B 'a-ko-to' can correspond to either 'ακτωρ' or 'αχθων'.,personal name
a-ko-to-no,ακτοινος,,Removed accent from 'ά'. The Linear B 'a-ko-to-no' corresponds to Greek 'ακτοινος' (without land).,without land (see 'ktoina')
a-ko-wo,ακορφος,,Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,"childless, unaccompanied (see  'korfos')"
a-ku-ro,αργυρος,,Removed accent from 'ά'.,silver
a-ma-ru-ta-o,αμαρυταο|αμαρυτας,,Removed accent from 'ά'. Included both cognates as the second one is within parentheses.,personal name
a-mi-ni-si-jo,αμνισιος,,No changes needed as it has no accents or special characters.,ethnic name of 'Amnisos'
a-mi-ni-so-de,αμνισονδε|αμνισος,,Removed accent from 'ό'.,place name
a-mo,αρμον,,First word from the pair. Removed accent from 'ά'.,wheel/chariot ('undercarriage')
a-mo-si,αρμοσι,,Second word from the pair. Removed accent from 'ά'.,wheel/chariot ('undercarriage')
a-mo-ta,αρμοτα,,Third word from the pair. Removed accent from 'ά'.,wheel/chariot ('undercarriage')
a-mo-te,αρμοτε,,Fourth word from the pair. Removed accent from 'ά'.,wheel/chariot ('undercarriage')
a-mo-i-je-to,αρμοιεντοι,,Removed accent from 'ί'.,just delivered? (see 'iento')
a-mo-ra-ma,αμωραμαρ,,Removed accent from 'ά' and 'ά' in the Greek cognate.,"'from day to day, daily?'"
a-mo-ta-jo,αρμοτεων,,First word from the pair. Removed accent from 'ώ'.,(to the) workshop of  'armota'
a-mo-te-jo-na-de,αρμοτεωνανδε,,Second word from the pair. Removed accent from 'ώ'.,(to the) workshop of  'armota'
a-mo-te-re,αρμοστηρες|αρμοστηρ,,No modifications needed. The Linear B 'a-mo-te-re' corresponds to Greek 'αρμοστηρες' and 'αρμοστηρ'.,>(of stones) laid with the grain
a-mo-te-wi-ja,αρμοθηfia,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'F'.,description of a pot
a-mu-ta-wo,αμυνθαfων,,Removed capital letter. Converted digamma 'F' to lowercase 'f'.,personal name
a-na-ta,αναιτα,,First word from the pair. Removed accent from 'ά'.,not decorated
a-na-to,αναιτον,,Second word from the pair. Removed accent from 'ά'.,not decorated
a-na-ta,αναιτα,,First word from the pair. Removed accent from 'ά'.,not decorated
a-na-to,αναιτον,,Second word from the pair. Removed accent from 'ά'.,not decorated
a-na-mo-ta,αναρμοστα,,Linear B 'a-na-mo-ta' corresponds to Greek 'αναρμοστα'. Removed accent from 'ά'.,(about chariots) not assembled
a-na-mo-to,αναρμοστον,,Linear B 'a-na-mo-to' corresponds to Greek 'αναρμοστον'. Removed accent from 'ό'.,(about chariots) not assembled
a-na-pu-ke,αναμπυκες,,No modifications needed as it has no accents or special characters.,without head- bands (see 'ampykes')
a-ne-mo,ανεμων,,No changes needed as it has no accents or special characters.,wind
a-ne-mo-i-e-re-ja,ανεμωνιερεια,,Removed accent from 'έ'.,priestess of winds
a-ne-ta,ανετα|ανιημι,,Removed accent from 'ά'.,"not due, of ηο charge (>ανίημι= to set free)"
a-ne-u-te,ανευθεν|ανευτει|ανευς,,No changes needed as it has no accents or special characters.,place name
a-ni-ja,ανια|ηνια,,First word from the pair. Removed accent from 'ί'.,reιns
a-ni-ja-pi,ανιαφι|ηνιαφι,,Second word from the pair. Removed accent from 'ί'.,reιns
a-ni-ja-to,ανιατος,,No changes needed as it has no accents or special characters.,personal name
a-no-no,ανονον|ανωνον,,Multiple possible cognates. Removed accent from 'ά'.,"not rented, (see opp. 'onaton')"
a-no-po,ανωπος,,No changes needed as it has no accents or special characters.,"without  'holes,' not pierced"
a-no-we,ανωfεις,,First word from the pair. Removed accent from 'ώ'. Converted digamma 'F' to lowercase 'f'.,without 'ears'/ handles
a-no-wo-to,ανωfτος,,Second word from the pair. Removed accent from 'ώ'. Converted digamma 'F' to lowercase 'f'.,without 'ears'/ handles
a-nu-ko,ανυκος,,Removed accent from 'Ά'. The Linear B 'a-nu-ko' corresponds to Greek 'ανυκος' (Anykos).,personal name
a-nu-to,ανυτος,,Removed accent from 'Ά'.,personal name
a-pa-je-u,αρπαγευς,,The Linear B 'a-pa-je-u' corresponds to Greek 'αρπαγευς' (Arpayeus).,personal name
a-pa-re-u,αφαρευς,,First word from pair. Removed accent from 'έ'.,place name
a-pa-re-u-pi,αφαρευς,,Second word from pair. Removed accent from 'έ'.,place name
a-pa-sa-ki-jo,αψαγιος,,The Linear B 'a-pa-sa-ki-jo' corresponds to Greek 'αψαγιος'. No modifications needed as there are no accents or digammas.,personal name
a-pa-ta,ασπαρτα,,Removed accent from 'ά'.,not sown/ cultivated?
a-pa-ta-wa,απταρfα|απτερα,,The Linear B 'a-pa-ta-wa' corresponds to Greek 'απταρfα'. Removed accent from 'Ά'. Converted digamma 'F' to lowercase 'f'.,place name
a-pa-ta-wa-ja,απταρfαια,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'α'.,ethnic name of 'Aptarfa'
a-pa-ta-wa-jo,απταρfαιος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'α'.,ethnic name of 'Aptarfa'
a-pe-a-sa,απεασα|απειμι,,First word from the pair. Removed accent from 'έ'.,absent
a-pe-o-te,απεοντες|απειμι,,Second word from the pair. Removed accent from 'έ'.,absent
a-pe-e-ke,απεηκε|αφιημι,,Removed accent from 'έ'. The Linear B 'a-pe-e-ke' corresponds to Greek 'απεηκε' (to let go).,to let go
a-pe-ri-ta-wo,απελιταfων,,Converted digamma 'F' to lowercase 'f'. Removed capital letter.,personal name
a-pe-ti-rya,αφετριαι|αφετρια,,Removed accent from 'έ'.,item found together with a 'torpeza'
a-pi,αμφι,,"The Linear B 'a-pi' corresponds to Greek 'αμφι' (bi-, both).","bi-, both"
a-pi-ha-ro,αμφιhαλος,,"The Linear B 'a-pi-ha-ro' corresponds to Greek 'αμφιhαλος'. The 'ha' sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate. Removed capital letter.",personal name
a-pi-e-ke,αμφιεχει|αμφιεχειν|αμφιεχω,,Multiple possible cognates. Removed accents from 'έ' and 'ώ'.,to be covered all over
a-pi-ja-ko-ro,αμφιαγρος,,First word from the pair. Removed accent from 'ί'.,personal name
a-pi-ja-ko-ro-jo,αμφιαγρος,,Second word from the pair. Removed accent from 'ί'.,personal name
a-pi-do-ro,αμφιδωρος,,Removed capital letter from 'Α'.,personal name
a-pi-ja-re-wo,αμφιαρεfος|αμφιαρευς,,Removed capital letter and accent from 'ί'. Converted digamma 'F' to lowercase 'f'. Included both forms.,personal name
a-pi-je-ta,αμφιγετας,,No changes needed as it has no accents or special characters.,personal name
a-pi-me-de,αμφιμηδης,,First word from the pair. Removed accent from 'ή'.,personal name
a-pi-me-de-o,αμφιμηδεο,,Second word from the pair. Removed accent from 'ή'.,personal name
a-pi-no-e-wi-jo,αμφινοεfιοι,,Removed capital letter. Converted digamma 'F' to lowercase 'f'.,ethnic name of 'Amphoneus'
a-po-re-we,αμφορηfες|αμφορευς,,Split the Linear B sequence. Removed accent from 'ή'. Converted digamma 'F' to lowercase 'f'. Handled parentheses for Greek cognate: included word without parentheses as well.,amphora
a-pi-po-re-we,αμφιφορηfες|αμφιφορευς,,Split the Linear B sequence. Removed accent from 'ή'. Converted digamma 'F' to lowercase 'f'. Handled parentheses for Greek cognate: included word without parentheses as well.,amphora
a-pi-po-ro,αμφιπολος,,First word from the pair. Removed accent from 'ί'.,attendant
a-pi-qo-ro-i,αμφιπολος,,Second word from the pair. Removed accent from 'ί'.,attendant
a-pi-qo-ta,αμφιποτας,,Removed accent from 'ό'.,personal name
a-pi-qo-to,αμφιποτος|αμφιβατος,,"Removed accent from 'ί'. Included both cognates, and removed parentheses.",(table) with legs apart
a-pi-ra-wo,αμφιλαfος|αμφιλαfων,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,personal name
a-po-ne-we,αμφονεfει|αμφονευς,,First word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,place name
a-pu-ne-we,αμφονεfει|αμφονευς,,Second word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,place name
a-po-re-we,αμφορηfες|αμφορευς,,Split the Linear B sequence. Removed accent from 'ή'. Converted digamma 'F' to lowercase 'f'. Handled parentheses for Greek cognate: included word without parentheses as well.,amphora
a-po-te-ra,αμφοτερα|αμφοτεραι,,Removed accent from 'ό'. Included both variants with and without final 'ι'.,both
a-po-te-ro-te,αμφοτερωθεν,,No modifications needed as it has no accents or special characters.,οη both sides
a-pu-do-ke,απυδωκε|αποδιδωμι,,First word from the pair. Removed accent from 'ύ'. Included cognate in parentheses.,to deliver
a-pe-do-ke,απεδωκε|αποδιδωμι,,Second word from the pair. Removed accent from 'έ'. Included cognate in parentheses.,to deliver
a-pu-do-si,απυδοσις|αποδοσις,,"Removed accent from 'ύ' and 'ό'. Included both forms, with 'πυ' and later evolved 'πο'.",delivery
a-pu-ka,αμπυξ,,First word from the pair. Removed accent from 'ά'.,"head- band, tiara/ reιns"
a-pu-ke,αμπυκες,,Second word from the pair. Removed accent from 'ά'.,"head- band, tiara/ reιns"
a-pu-ko-wo-ko,αμπυκοfεργος,,No modifications were needed. The Linear B 'a-pu-ko-wo-ko' corresponds to Greek 'αμπυκοfεργος'. Converted digamma 'F' to lowercase 'f'.,maker of 'ampykes'
a-phu-ka-ne,αφυγανες,,Removed accent from 'ύ'.,ethnic name of 'Aphy'
a-phu,αφυ,,First word from the triple. No modifications needed as the word contains only allowed characters and no diacritics.,place name (απύ= steep)
a-phu-de,αφυνδε,,Second word from the triple. No modifications needed as the word contains only allowed characters and no diacritics.,place name (απύ= steep)
a-phu-we,αφυfει,,Third word from the triple. Converted digamma 'F' to lowercase 'f'.,place name (απύ= steep)
a-qa-to,αμβατος,,Removed accent from 'Ά'.,personal name
a-qe-mo,ακβαιμων,,Removed capital letter and accent from 'ά'.,personal name
a-qo-ta,αμβοτας,,No changes needed as it has no accents or special characters.,personal name
a-ra-ka-te-ja,αλακατειαι,,Removed accent from 'ά'.,weavers (fem.) (ηλάκατα= wool/ ηλακάτη= spindle)
a-ra-ka-te-ja-o,αλακατειαιον,,Removed accent from 'ί'. The Linear B 'a-ra-ka-te-ja-o' corresponds to Greek 'αλακατειαιον'.,weavers'  place
a-ra-ro-mo-te-me-na,αραρμοτhεμενα,,First word from the pair. Removed parenthesis from (η). The Linear B 'a-ra-ro-mo-te-me-na' corresponds to Greek 'αραρμοτhεμενα'.,assembled
a-ra-ro-mo-te-me-no,αραρμοτhεμενος,,Second word from the pair. Removed parenthesis from (η). The Linear B 'a-ra-ro-mo-te-me-no' corresponds to Greek 'αραρμοτhεμενος'.,assembled
a-ra-ru-ja,αραρυια,,No changes needed as it has no accents or special characters.,bound/equipped (fem.)
a-ra-ru-wo-a,αραρυfοα|αραρυοντα,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ύ'.,bound/equipped (neut.)
a-re-ja,αρεια,,First word from the pair. No modifications were needed as it contains allowed characters only.,divine epithet (>Άρης= god Mars)
a-re-jo,αρειος,,Second word from the pair. No modifications were needed as it contains allowed characters only.,divine epithet (>Άρης= god Mars)
a-re-i-jo,αρειιος,,Third word from the pair. No modifications were needed as it contains allowed characters only.,divine epithet (>Άρης= god Mars)
a-re-ka-sa-da-ra,αλεξανδρα,,No changes needed as it has no accents or special characters.,personal name (fem.)
a-re-ke-se-u,αλεξευς,,No changes needed as it has no accents or special characters.,personal name
a-re-ki-si-to-jo,αλεξιτοιο|αλεξιτος,,Removed accent from 'ί'.,personal name
a-re-ku-tu-ru-wo,αλεκτρυfων,,First word from the triple. Removed capital letter and accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,personal name (= 'cock')
a-re-ku-tu-ru-wo-ne,αλεκτρυfων,,Second word from the triple. Removed capital letter and accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,personal name (= 'cock')
a-re-ku-tu-ru-wo-no,αλεκτρυfων,,Third word from the triple. Removed capital letter and accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,personal name (= 'cock')
a-re-me-ne,αρειμενης,,Removed parentheses. Removed accent from 'έ'.,personal name
a-re-pa,αλειφαρ,αλοιφη,First word from the group. Removed accent from 'ά'.,"cream, ointment"
a-ro-pa,αλειφαρ,αλοιφη,Second word from the group. Removed accent from 'ά'.,"cream, ointment"
a-re-pa-te,αλειφαρ,αλοιφη,Third word from the group. Removed accent from 'ά'.,"cream, ointment"
a-re-pa-to,αλειφαρ,αλοιφη,Fourth word from the group. Removed accent from 'ά'.,"cream, ointment"
a-re-pa-zo-o,αλειφαζοος,αλειφοβιος,"First word from the pair. Removed accent from 'ό'. Parenthetical element dropped as requested in rule 2.2. Including αλειφοβιος as dubious, but keeping the original value of αλειφαζοος.",occupation (= 'anointer')
a-re-po-zo-o,αλειφαζοος,αλειφοβιος,"Second word from the pair. Removed accent from 'ό'. Parenthetical element dropped as requested in rule 2.2. Including αλειφοβιος as dubious, but keeping the original value of αλειφαζοος.",occupation (= 'anointer')
a-ryo-a,αρειονα,,Removed accent from 'ί'.,"better (neut., plur.)"
a-ryo-e,αρειονες,,Removed accent from 'ί'.,"better (masq., plur.)"
a-ryo-jo,αρειονιο,,Removed accent from 'ί'.,"better (masq., sing., gen.)"
a-ru-ra,αρουρα,,The Linear B 'a-ru-ra' corresponds to Greek 'αρουρα' (unit of land).,unit of land
a-ro-u-ra,αρουρα,,The Linear B 'a-ro-u-ra' corresponds to Greek 'αρουρα' (unit of land).,unit of land
a-sa-mi-to,ασαμινθος,,No modifications needed.,bath tab
a-si-ja-ti-ja,ασιατιαι,,Removed accent from 'ί'. The Linear B 'a-si-ja-ti-ja' corresponds to Greek 'ασιατιαι' (place name).,place name
a-si-wi-ja,ασιfια,,Converted digamma 'F' to lowercase 'f'. The Linear B 'a-si-wi-ja' corresponds to Greek 'ασιfια'.,ethnic name
a-si-wi-jo,ασιfιος,,Converted digamma 'F' to lowercase 'f'.,ethnic name
a-ta-ma-ne-u,αθαμανευς|αθαμας,,First word from the pair. Removed capital letter and accent from 'ύ'. Included both forms.,personal name
a-ta-ma-ne-we,αθαμανευς|αθαμας,,Second word from the pair. Removed capital letter and accent from 'ύ'. Included both forms.,personal name
a-ta-na,αθηνα,,The Linear B 'a-ta-na' corresponds to Greek 'ατανα'. Removed accent from 'ά'.,goddess' s name (goddess Athena)
a-ta-na-po-ti-ni-ja,αθηναποτνια,,Atana (-potnia= beloved),goddess' s name (goddess Athena)
a-ta-no,αντανωρ,,First word from the pair. Removed capital letter.,personal name 
a-ta-no-re,αντανωρ,,Second word from the pair. Removed capital letter.,personal name 
a-ta-no-ro,αντανωρ,,Third word from the pair. Removed capital letter.,personal name 
a-ta-ra-si-jo,αταλανσιος,,No changes needed as it has no accents or special characters.,without copper (see also 'talansia' )
a-te-mi-ti-jo,αρτεμιτιος,,Removed capital letter from 'Α'.,personal name
a-te-mo,αρτεμων|ανθεμων,,Multiple possible cognates. Removed accents. Linear B 'a-te-mo' can correspond to either 'αρτεμων' or 'ανθεμων'.,personal name
a-te-re-wi-ja,ατρειfια,,Converted digamma 'F' to lowercase 'f'.,ethnic/place name
a-te-we,ατηfει,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ή'.,kind of pot (jug)
a-to-po-qo,αρτοποπος|αρτοποιος,,Removed accents from 'ό'. Included both forms 'αρτοποπος' and 'αρτοποιος'.,baker
a-ti-mi-te,αρτιμιτει|αρτεμις,,Removed accent from 'ί'.,goddess' s name
a-to-ro-po,ανθρωπω|ανθρωπος,,Removed accent from 'ώ'. The Linear B 'a-to-ro-po' corresponds to Greek 'ανθρωπω' (human).,human
a-tu-ko,ατυκος|ατυγος,,Removed accents from 'Ά'. The Linear B 'a-tu-ko' corresponds to Greek 'ατυκος' and 'ατυγος' (personal name).,personal name
au-ke-wa,αυγεfαν|αυγευς,,Converted digamma 'F' to lowercase 'f'.,personal name
au-ro,αυλοι|αυλος,,Multiple possible cognates. Removed accent from 'ί'. The Linear B 'au-ro' can correspond to either 'αυλοι' or 'αυλος'.,pipe (> musical instrument)
au-tya,αυτιας,,No changes needed as it has no accents or special characters.,personal name
a-we-ke-se-u,αfειξευς,,First word from the pair. Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,personal name
a-we-ke-se-we,αfειξευς,,Second word from the pair. Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,personal name
ha-ro-u-do-pi,hαλοσυδωρφι,,No modifications needed. The Linear B 'ha-ro-u-do-pi' corresponds to Greek 'hαλοσυδωρφι'.,aquamanne (gem)/with wave- like patterns (άλς= sea+ ύδωρ= water)
ha-ru-wo-te,hαρυfοθεν|χαρυβδος,,Removed accents from 'ύ'. Converted digamma 'F' to lowercase 'f'. Included both forms 'hαρυfοθεν' and 'χαρυβδος' as cognates.,place name
ha-te-ro,ετερος,,Removed accent from 'ά'.,other
da-da-re-jo-de,δαδαλειονδε|δαδαλειον,,Included both variants of the greek cognate present in the parentheses. Removed accent from 'έ'.,place name/ sanctuary
da-i-qo-ta,δαιποντας,,Removed accent from 'ό'.,personal name
da-i-ta-ra-ro,δαιτραρος,,No modifications needed. The Linear B 'da-i-ta-ra-ro' corresponds to Greek 'δαιτραρος'.,personal name
da-ja-ro,δαιαρος,,No changes needed as it has no accents or special characters.,personal name
da-ma-te,δημητηρ,,No modifications needed. The Linear B 'da-ma-te' corresponds to Greek 'δαματερ'.,goddess' s name (>Demeter)
da-ma-te,δαματες,,First word from the pair. Removed accent from 'ά'.,related to 'damos' (family groups?)
