Transliteration (Latin),Pronunciation (Greek),Pronunciation (English),Translation (English)
a-ke-te-re,αγέτερες/ασκέτερες,ageteres/ asketeres,official title/ occupation (see also 'asketreiai')
a-ke-ti-ra2(-o)/a-ke-ti-ri-ja/a-ke-ti-ri-ja-i,ασκητριάων/ασκήτριαι,asketreiaon/ asketreiai,decorators? (fem.) (>ασκέω/ασκώ= to work)
a-ke-u/a-ke-wo,Αλκεύς,Alkeus,personal name
a-ki-a2-ri-ja-de,Αιγlhάλιανδε(Αιγιhάλια),Aigihaliande (Aigihalia),place name
a-ki-re-u/a-ki-re-we,Αχιλεύς,Ahileus,personal name
a-ki-ti-to,άκτι(σ)τος,akti(s)tos,"'untitled?' (>κτίσις= founding, settling)"
*a-ko,άγος/άγκος,agos/agkos,"holy place/grove, valley (see 'ti-mi- to-a-ke-e')"
a-ko-ra,αγορά,agora,assembly >market place
a-ko-ra-ja/a-ko-ra-jo,αγοραία/αγοραίος,agoraia/ agoraιos,used for communal purposes (see also 'agora')
a-ko-ro/a-ko-ro-we,αγρός,agros,field
a-ko-so-ne,άξονες,axones,axles
a-ko-so-ta/a-ko-so-ta-o,Ακσότας,Aksotas,personal name
a-ko-te-u,Αργοθεύς,Argotheus,personal name
a-ko-to,Άκτωρ/Άχθων,Aktor/Ahthon,personal name
a-ko-to-no,άκτοινος,aktoinos,without land (see 'ktoina')
a-ko-wo,άκορFος,akorfos,"childless, unaccompanied (see  'korfos')"
a-ku-ro,άργυρος,argyros,silver
a-ma-ru-ta-o,Αμαρύταο(Αμαρύτας),Amalytao (Amalytas),personal name
a-mi-ni-si-jo,Αμνίσιος,Amnisios,ethnic name of 'Amnisos'
a-mi-ni-so-de,Αμνισόνδε(Άμνισος),Amnisonde (Amnisos),place name
a-mo/a-mo-si/a-mo-ta/a-mo-te,άρμον/άρμοσι/άρμοτα/άρμοτε,armon/ armosi/ armota/ armote,wheel/chariot ('undercarriage')
a-mo-i-je-to,αρμοίεντοι;,armoientoi?,just delivered? (see 'iento')
a-mo-ra-ma,άμωρ-άμαρ;,amor- amar?,"'from day to day, daily?'"
a-mo-ta-jo/a-mo-te-jo-na-de,αρμοτεών/αρμοτεώνανδε,armoteon/ armoteonande,(to the) workshop of  'armota'
a-mo-te-re,αρμοστήρες(αρμοστήρ),armosteres (armoster),>(of stones) laid with the grain
a-mo-te-wi-ja,αρμοθήFια,armothevia,description of a pot
a-mu-ta-wo,ΑμυνθάFων,Amynthafon,personal name
a-na(-i)-ta/a-na(-i)-to,άναιτα/άναιτον,anaita/ anaiton,not decorated
a-na-mo-taa-na-mo-to,ανάρμοστα/ανάρμοστον,anarmosta/ anarmoston,(about chariots) not assembled
a-na-pu-ke,ανάμπυκες,anampykes,without head- bands (see 'ampykes')
a-ne-mo(i-e-re-ja),ανέμων(ιέρεια),anemon (iereia),(priestess) of winds
a-ne-ta,άνετα(ανίημι),aneta (anieimi),"not due, of ηο charge (>ανίημι= to set free)"
a-ne-u-te,Ανεύθεν/Ανεύτει(Ανεύς),Aneuthen/ Aneutei (Aneus),place name
a-ni-ja/a-ni-ja-pi,ανία/ανίαφι(>ηνία),ania/aniaphi (>einia),reιns
a-ni-ja-to,Ανίατος,Aniatos,personal name
a-no-no,άνονον/άνωνον,anonon,"not rented, (see opp. 'onaton')"
a-no-po,άνωπος,anopos,"without  'holes,' not pierced"
a-no-we/a-no-wo-to,ανώFεις/άνωFτος,anofeis/ anoftos,without 'ears'/ handles
a-nu-ko,Άνυκος,Anykos,personal name
a-nu-to,Άνυτος,Anytos,personal name
a-pa-je-u,Αρπαγεύς,Arpayeus,personal name
a-pa-re-u/a-pa-re-u-pι,Αφαρεύς,Aphareus,place name
a-pa-sa-ki-jo,Αψάγιος,Apsayios,personal name
a-pa-ta,άσπαρτα;,asparta?,not sown/ cultivated?
a-pa-ta-wa,ΆπταρFα(>Άπτερα),Aptarfa (>Aptera),place name
a-pa-ta-wa-ja/a-pa-ta-wa-jo,ΑπταρFαία/ΑπταρFαίος,Aptarfaia/ Aptarfaios,ethnic name of 'Aptarfa'
a-pe-a-sa/a-pe-o-te,απέασα/απέοντες(>άπειμι),apeasa/ apeontes (>apeimi),absent
a-pe-e-ke,απέηκε(>αφίημι),apeeike (>aphieimi),to let go
a-pe-ri-ta-wo,ΑπελιτάFων,Apelitafon,personal name
a-pe-ti-ra2,αφέτρια(ι),aphetria(i),item found together with a 'torpeza'
a-pι,αμφί,amphi,"bi-, both"
a-p1-a2-ro,Αμφίhαλος,Amphihalos,personal name
a-pi-e-ke,αμφιέχει(ν)(αμφιέχω),amphiehei(n) (amphieho),to be covered all over
"a-pi-ja-ko-ro/
a-pi-ja-ko-ro-jo",Αμφίαγρος,Amphiagros,personal name
a-pi-do-ro,Αμφίδωρος,Amphidoros,personal name
a-pi-ja-re-wo,ΑμφιαρήFος(Αμφιαρεύς),Amphiarevos (Amphiareus),personal name
a-pi-je-ta,Αμφιγέτας,Amphiyetas,personal name
a-pi-me-de/a-pi-me-de-o,Αμφιμήδης,Amphimedes,personal name
a-pi-no-e-wi-jo,ΑμφινοέFιοι,Amphinoevioi,ethnic name of 'Amphoneus'
a-(pi-)po-re-we/a-po-re-we,αμ(φι)φορήFες(αμ(φι)φορεύς),am(phi)phorefes (am(phi)phoreus),amphora
a-pi-po-ro/a-pi-qo-ro-i,αμφίπολος,amphipolos,attendant
a-pi-qo-ta,Αμφιπότας,Amphipotas,personal name
a-pi-qo-to,αμφίποτος(>αμφίβατος?),amphipotos (>amphivatos?),(table) with legs apart
a-pι-ra-wo,ΑμφίλαFος/ΑμφιλάFων,Amphilavos/ Amphilavon,personal name
a-po-ne-we/a-pu-ne-we,ΑμφονέFει(Αμφονεύς),Amphonevei (Amphoneus),place name
a-po-te-ra,αμφότερα(ι),amphotera(i),both
a-po-te-ro-te,αμφοτέρωθεν,amphoterothen,οη both sides
a-pu-,απύ-(>από-),apy- (> apo-),from/with
a-pu-do-ke/a-pe-do-ke,απύδωκε/απέδωκε(>αποδίδω),apydoke/ apedoke (>apodido),to deliver
a-pu-do-si,απύδοσις(>απόδοσις),apydodis (>apodosis),delivery
a-pu-ka/a-pu-ke,άμπυξ/άμπυκες,ampyx/ ampykes,"head- band, tiara/ reιns"
a-pu-ko-wo-ko,αμπυκοFοργός,ampykovorgos,maker of 'ampykes'
a-pu2-ka-ne,Αφύγανες,Afyganes,ethnic name of 'Aphy'
a-pu2/a-pu2-de/a-pu2-we,Αφύ/Αφύνδε/ΑφύFει,Aphy/ Aphynde/ Aphyvei,place name (απύ= steep)
a-qa-to,Άμβατος,Amvatos,personal name
a-qe-mo,Ακβαίμων,Akvaimon,personal name
a-qo-ta,Αμβότας,Amvotas,personal name
a-ra-ka-te-ja,αλακάτειαι,alakateiai,weavers (fem.) (ηλάκατα= wool/ ηλακάτη= spindle)
a-ra-ka-te-ja-o,αλακατειαίον,alakateiaion,weavers'  place
a-ra-ro-mo-te-me-na/a-ra-ro-mo-te-me-no,αραρμοτ(η)μένα/αραρμοτ(η)μένος,ararmot(ei)mena/ ararmot(ei)menos,assembled
a-ra-ru-Ja,αραρύια,araryιa,bound/equipped (fem.)
a-ra-ru-wo-a,αραρύFοα(>αραρύοντα),araryvoa (>araryonta),bound/equipped (neut.)
a-re-ja/a-re-jo/a-re-i-jo,αρεία/αρείος,areia/ areιos,divine epithet (>Άρης= god Mars)
a-re-ka-sa-da-ra,Αλεξάνδρα,Alexandra,personal name (fem.)
a-re-ke-se-u,Αλεξεύς,Alexeus,personal name
a-re-ki-si-to-jo,Αλεξίτοιο(Αλέξιτος),Alexitoio (Alexitos),personal name
a-re-ku-tu-ru-wo/a-re-ku-tu-ru-wo-ne/a-re-ku-tu-ru-wo-no,ΑλεκτρύFων,Alektryfon,personal name (= 'cock')
a-re-me-ne,Αρ(ει)μένης,Ar(ei)menes,personal name
a-re-pa/a-ro-pa/a-re-pa-te/a-re-pa-to,άλειφαρ(>αλοιφή),aleiphar (>aloiphe),"cream, ointment"
a-re-pa-zo-o/a-re-po-zo-o,αλειφαζόος(>αλειφόβιος),aleiphazoos (>aleiphovios),occupation (= 'anointer')
a-ro2-a,αρίοα(>αρείονα),aryoa (>areiona),"better (neut., plur.)"
a-ro2-e,αρίοες(>αρείονες),aryoes (>areiones),"better (masq., plur.)"
a-ro2-jo,αρίοιο(>αρείονος),aηοιο (>areionos),"better (masq., sing., gen.)"
a-ru-ra/a-ro-u-ra,αρούρα,aroura,unit of land
a-sa-mi-to,ασάμινθος,asaminthos,bath tab
a-si-ja-ti-ja,Ασιάτιαι,Asiatiai,place name
a-si-wi-ja/,ΑσίFια/,Asivia/,ethnic name
a-si-wi-jo,ΑσίFιος,Asivios,
a-ta-ma-ne-u/a-ta-ma-ne-we,Αθαμανεύς(>Αθάμας),Athamaneus (>Athamas),personal name
a-ta-na(-po-ti-ni-ja),Ατάνα(-πότνια),Atana (-potnia= beloved),goddess' s name (goddess Athena)
a-ta-no/a-ta-no-re/a-ta-no-ro,Αντάνωρ,Antanor,personal name 
a-ta-ra-si-jo,αταλάνσιος,atalansios,without copper (see also 'talansia' )
a-te-mi-ti-jo,Αρτεμίτιος,Artemitios,personal name
a-te-mo,Αρτέμων/Ανθέμων,Artemon/ Anthemon,personal name
a-te-re-wi-ja,ΑτρειFία,Atreivia,ethnic/place name
a-te-we,α(;)τήFει,a(?)tevei,kind of pot (jug)
a-to-po-qo,αρτοπόπος(>αρτοποιός),artopopos (>artopoios),baker
a-ti-mi-te,Αρτιμίτει(Άρτεμις;),Artimitei (Artemis?),goddess' s name
a-to-ro-po,ανθρώπω(άνθρωπος),anthropo (anthropos),human
a-tu-ko,Άτυκος/Άτυγος,Atykos/Atygos,personal name
au-de-we-sa,(au-de)Fεσσα,(au-de)vessa,haνing  'au-d' (= a rosette?)
au-ke-wa,ΑυγέFαν(Αυγεύς),Augevan (Augeus),personal name
au-ro,αυλοί(αυλός),aulos (aulos),pipe (> musical instrument)
au-ta2,Αυτίας,Autias,personal name
a-we-ke-se-u/a-we-ke-se-we,ΑFειξεύς,Afeixeus,personal name
a2-ka-a2-ki-ri-jo,(a2-ka-a2)+άγριος,(a2-ka-a2) + agrios,ethnic/place name (>αγρός= field)
a2-ro-u-do-pi,hαλοσύδωρφι,halosydorphi,aquamanne (gem)/with wave- like patterns (άλς= sea+ ύδωρ= water)
a2-ru-wo-te,ΗαρύFοθεν(>Χάρυβδος;),Haryvothen (>Haryvdos ?),place name
a2-te-ro,hάτερος(>έτερος),hateros (>eteros),other
da-da-re-jo-de,Δαδαλείονδε(Δαδαλείον),Dadaleionde (Dadaleion),place name/ sanctuary
da-i-qo-ta,Δαιπόντας,Daipontas,personal name
da-i-ta-ra-ro,Δαίτραρος,Daitraros,personal name
da-ja-ro,Δαίαρος,Daiaros,personal name
da-ma-te,Δάματερ,Damater,goddess' s name (>Demeter)
da-ma-te/du-ma-te,δάματες/δύματες,damates/ dymates,related to 'damos' (family groups?)
da-mi-ni-jo,Δάμνιος,Damnios,ethnic name of 'Damnos'
da-mo,δάμος(>δήμος),damos (>deimos),municipality
da-mo-ko-ro,δάμοκλος,damoklos,official title
da-pu2-ri-to-(j)o,δαφυρίνθοιο(>λαβύρινθος),daphurinthoio (>lavyrinthos),(of the) labyrinth
da-ro,Δάρων,Daron,personal name
da-ta-ja-ro,Δαταίαρος,Dataiaros,personal name
da-wi-ja/da-wi-jo,ΔαFία/ΔάFιος,Davia/Davios,ethnic name of 'Dafos/Dafοη'
da-we-u-pi/da-wo,ΔαFεύφι/ΔάFος/ΔάFων,Daveuphi Dafos/Dafon,place name
de-de-me-no,δεδεμένος,dedemenos,bound
de-di-ku-ja,δεδικύια(>διδάσκω),dedikyia (>didasko),being apprenticing (see also 'didaskalei')
de-do-me-na,δεδομένα(δίδωμι>δίδω),dedomena (didomi>dido),(things) being offered
de-ka-sa-to,δέξατο(δέχομαι),deksato dexomai,to be accepted
de-ku-tu-wo-ko,δεκτυFοργός,dektyvorgos,maker of nets
de-me-o-te,δεμέοντες(δέμω),demeontes (demo),they who build
de-mi-ni-a,δέμνια,demnia,bedsteads
de-qo-no,δείπνον,deipnon,"dinner, meal"
de-re-u-ko,δλεύκος,dleukos,must (of wine)
de-so-mo,δεσμοίς(δεσμός),desmois (desmos),(with) straps
de-u-ka-ri-jo,Δευκαλίων,Deukalion,personal name
de-u-ki-jo-jo,Δευκίοιο(Δεύκιος),Deukioio (Deukios),month name
de-we-ro-ai-ko-ra-i-ja,δεFροαιχωραίαι(=ενδο-χώρα),devroaihoraiai (='hither-lands '),place name (compare to 'peraiaihoraiai')
di-da-ka-re,διδασκάλει(διδάσκαλος),didaskalei (didaskalos),at the place of the practitioner (see also 'dedikyia')
di-ka-ta-de,Δίκτανδε(Δίκτα>Δίκτη),Diktande (Dikta> Dikte),place name (mountain)
di-ka-ta-jo,Δικταίος,Diktaios,epithet of god Zeus
di-ko-na-re-ja,Δικονάρεια,Dikonareia,personal name (fem.)
di-ko-na-ro,Δικόναρος,Dikonaros,personal name
di-pa,δίπας(>δέπας),dipas (>depas),a kind of cup
di-pi-se-wi-jo/di-pi-si-je-wi-jo,ΔιψιέFιος,Dipsievios,person from 'Dipsos'  (same as next)
di-pi-si-ja/di-pi-si-jo,Διψία/Δίψιος,Dipsia/Dipsios,ethnic name of 'Dipsos'
di-pi-so-i,Διψώι(Διψός),Dipso'i (Dipsos),place name
di-pte-ra,δίπτερα,diptera,leather hide (>writing material)
di-pte-ra-po-ro,διπτεραφόρος,dipteraphoros,ceremonial title
di-ri-mi-jo,Δριμίος,Drimios,god's name
di-ro,Διρός,Diros,place name
di-u-ja/di-wi-ja/di-wi-je-ja,Διυία/ΔιFία,Diyia/Divia,priestess of god Zeus/goddess' s name
di-u-ja-jo/di-wi-ja-jo-de/di-wi-ja-wo,Διυαίον/ΔιFιαίονδε,Diyaion/ Diyiaionde,sanctuary dedicated to Diyia
di-u-ja-wo,ΔιυάFων,Diyafon,personal name/ priest of 'Difia'
di-u-jo/di-wi-jo,Διύος/ΔιFίος,Dyios/Divios,belonging to god Zeus
di-we/di-wo,ΔιFεί/ΔιFός(Ζευς/>Δίας),Divei/Divos (Zeus/> Dias),god' s name (god Zeus)
di-wi-ja-me-ro,δFιάμερον(>διήμερον),dyiameron (>dyimeron),two day period
di-wi-ja-ta,ΔιFιαταί,Diviatai,ethnic/place name
di-wi-je-u/di-wi-je-we,ΔιFιεύς,Divieus,personal name/ priest of god Zeus
di-wi-jo/di-wi-jo-de/di-wi-jo-jo,ΔιFίον,Divion,sanctuary dedicated to Zeus
di-wo,ΔίFων,Difon,personal name
di-wo-i-je-we,ΔιόςΙεFεί,Dios Ievei,'to the Son of Zeus'
di-wo-ni-so-jo,ΔιFονυσοίο(ΔιFόνυσος>Διόνυσος),Divonysoio (Divonysos >Dionysos),god's  name (god Dionysus)
do-de,δόνδε(>δώ),donde (>do),"refeπing to the >δόμος= house, dwelling"
do-e-ra,δοέλα(>δούλη),doela (>doule),slave (fem.)
do-e-ro,δοέλος(>δούλος),doelos (>doulos),slave (masq.)
do-e-ro-i,δοέλοι(>δούλοι),doeloi (>douloi),slaves (masq. plur.)
do-po-ta,Δοσπότα,Dospota,goddess' s name
do-qe-ja/do-qe-u,δορπεία/δορπεύς,dorpeia/ dorpeus,δόρπον= supper/ Δορπία= name of feast
do-ra,δώρα,dora,gifts
do-ri-je-we,ΔωριέFει/ΔωριέFες(Δωριεύς),Dorievei/ Dorieves (Dorieus),ethnic/personal name
do-ro-me-u,Δρομεύς,Dromeus,personal name
do-se/do-so-si/di-do-si,δώσει/δώσονσι/δίδονσι(>δίδω),dosei/ dosonsi/ didonsi (>dido),to give
do-so-mo,δοσμοί(δοσμός),dosmoi (dosmos),offerings
do-we-jo,δορFείος,dorfeios,made of wood
du-ma/du-ma-te,δύμας/δύματες,dymas/ dymates,official/religious title (see also 'damates')
du-ni-jodu-ni-jo-jo,Δύνιος/Δυνίοιο,Dynios/ Dynioio,personal name
du-re-u,Δυρεύς,Dyreus,personal name
du-ru-to-mo,δρυτόμος,drytomos,lumberjack
du-ta-so,Δύτασος,Dytasos,personal name
du-wo-jo-jo,ΔυFοίοιο(ΔυFοίος),Dyfoioio (Dyfoios),personal name
du-wo-u-pi,δυFούπι(δύο),dywoupi (dyo),consisting of two (see also  'dwo')
du-wo-we,δυFώFεις,dywofeis,"with two 'ears,' handles"
dwo/dwo-jo,δFο/δυFό(δύο),dwo/dywo (dyo),two
e-da-e-u/e-da-e-wo,Εδαεύς,Edaeus,personal name
e-do-me-ne-u/e-do-mo-ne-we,Ειδομενεύς,Eidomeneus,personal name
e-e-si/e-ne-e-sι,έενσι/ενέενσι(ειμί/ενειμί),eensi/ eneensι (eimi/eneimi),they/there are
e-ka-ma-pi/e-ka-ma-te,έγμαφι/εγμάτει(έγμα),egmaphi/ egmatei (egma),stay
e-ka-ra,εσχάρα,eshara,griddle
e-ka-ra-e-we,εγγραέFεις(γράω;),engraeveιs (grao?),description of rarns (γράω= to eat)
e-ke/e-ke-e/e-ko-si,έχει/έχεεν(>έχειν)/έχονσι(>έχουσι),ehei/ eheen (>ehein)/ ehonsi (>ehousi),he has/ to have/ they have
e-ke-da-mo,Εχέδαμος/Εχεδάμων,Ehedamos/ Ehedamon,personal name
e-ke-jo-to,εγκείοντοι(έγκειμαι),egkeiontoi (egkeimai),they are included
e-ke-me-de,Εχεμήδης,Ehemedes,personal name
e-ke-ra2-wo/e-ke-ra2-wo-ne,ΕχελιάFων,Ehelyafon,personal name
e-ke-ro,Έγχερος,Enheros,personal name
e-ke-ro-qo-no,εγχερόπονοι,enheroponoi,wage earners (>έγχερον= wage+ πόνος= labor)
e-ki-no/e-ki-no-jo,Εχίνος/Εργίνος,Ehinos/Erginos,personal name
e-ko/e-ko-te,έχων/έχοντες,ehon/ ehontes,having (see also 'ehei')
e-ko/e-ke-si,έγχος/έγχενσι,enhos/ enhensi,spear
e-ko-me-na-ta-ο,Ερχομενάταο(Ερχομενάτας),Erhomenatao (Erhomenatas),personal name
e-ko-me-no,Ερχομενός(>Ορχομενός),Erhomenos (>Orhomenos),place name
e-ko-so/e-ko-so-no,Εξών/Εξώνος,Εχοη/ Exonos,place name
e-ko-so-wo-ko,εξωFοργοί,eksovorgoi,'outside workers'(compare to 'entosνorgoi ')
e-ko-to,Έκτωρ,Ector,personal name (Hector)
e-ku-se-we(-qe),εγχυσήFες(>εγχέω),enhyseves (>enheo= to pour in),'funnels' (>εγχέω= to pour in)
e-ma-a2,Ερμάhαι(Ερμάhας>Ερμής),Ermahai (Ermahas> Ermes),(related to) god Hermes
e-me,εμεί(>ενί),emeι (>eni),with one
e-mi-to,εμμίσθων(έμμισθος),emisthon (emisthos),"in pay, hired"
e-na-po-ro,Ενάπλους,Enaplous,place name
e-ne-ka,ένεκα,eneka,because of
e-ne-si-da-o-ne,Ενεσιδάονει(Ενεσιδάων),Enesidaonei (Enesidaon),epithet of god Poseidon  (='earth- shaker')
e-ne-wo-pe-za,εννεFόπεζα,ennevopeza,(table) with nine legs
e-ni-pa-te-we,ΕνιπατεύFει(Ενιπατεύς),Enipatevei (Enipateus),place name
e-nu-wa-ri-jo/e-nwa-ri-jo,ΕνυFάλιος,Enyfalios,god's name
e-o,εών(ειμί),eon (eimi),being/existing
e-pi/o-pi,επi/οπί,epi/opi,towards/on top
e-pi-di-da-to,επιδίδαστοι(επιδίδωμι),epididastoi (epididomi),distributed
e-pi-ja-ta,Εφιάλτας,Ephialtas,personal name
e-pi-ki-to-ni-ja,επιχιτώνια,epihitonia,kind of clothing (see also  'hiton')
e-pi-ko-wo,επίκορFοι,epikorfoi,"observers, guards"
e-pi-we-ti-ri-jo,επιFέστριος,epivestrios,kind of occupation (working with 'over-garments')
e-pi-zo-ta,επίζωστα,epizosta,tied οη top
e-qa-ro,Έμβαρος,Emvaros,personal name
e-qe-si-jo/e-qe-si-ja,επέσιος/επέσια,epesios/epesia,related to the 'epetas'
e-qe-ta/e-qe-ta-e/e-qe-ta-i,επέτας,epetas,official title (= 'attendant')
e-ra,Έρα,Era,goddess' s name (Hera)
e-ra,Έρα,Era,place name
e-ra-ja,Εραία,Eraia,ethnic name of 'Era' (fem.)
e-ra-pe-me-na,ερ(ρ)απμένα(>ερραμμένη>ραμμένη),er(r)apmena (>erramene> ramene),sewed (fem.)
e-ra-po(ri-me-ne),Ελάφων(λιμένες),Elaphon (limenes),place name (='port of the deers')(see also 'limenes')
e-ra-ta-ra,Εράθρα,Erathra,personal name (fem.)
e-ra-te-i/e-ra-to-de,Ελάτει/Ελατόνδε(Ελατος),Elatei/ Elatonde (Elatos),place name
e-ra-te-i-jo,Ελάτειος,Elateios,ethnic name of 'Elatos'
e-ra-te-re-we/e-ra-te-re-wa-pι,ΕραθρέFει(ΕραθρέFα),Erathrevei (Erathrefa),place name
e-ra-wo/e-ra3-wo,έλαιFον(>έλαιον),elaiwon (>elaion),olive/essential oil
e-re-e/e-re-1,Ελέει(Ελος?),Eleei (Elos?),place name (έλος= marsh)
e-re-e,ερέεν(>ερέττειν),ereen (>erettein),to row
e-re-e-u,ερεύς,ereus,"master rower, 'coxswain' (see also 'eretai')"
e-re-mo,έρεμος/ερήμον,eremos/eremon,place deserted/ isolated
e-re-pa/e-re-pa-te/e-re-pa-te-ja-pi/e-re-pa-te-jo/e-re-pa-to,ελέφας/ελεφάντει/ελεφαντειάφι/ελεφάντειος/ελέφαντος,elephas elephantei elephanteiaphi/ elephanteios/ elephantos,elephant (implying ivory)
e-re-ta/e-re-ta-o,ερέται/ερετάων(ερέτας),eretai/eretaon (eretas),rowers
e-re-u-te-ra/e-re-u-te-ro,ελευθέρα/ελεύθερος,eleuthera/ eleutheros,'deliνered '/free
e-re-u-te-re,Ελευθέρει(Ελευθέραι;),Eleutherei (Eleutherai?),place name?
e-re-u-te-ro-se,ελευθέρωσε(εν)(>ελευθερώ),eleutherose( en) (>eleuthero),to set free/ to deliver
e-re-u-ti-ja,Ελευθία,Eleutheia,goddess' s name (= 'Deliνerer')
e-ri-ka/e-ri-ka-we-e,"ελίκας
(ελίκα>ελίκη)","elikas
(elika> elike)",willow tree
e-ri-ke-re-we,ΕρικλέFει(ς)(Ερικλεύς),Eriklevei(s) (Erikleus),personal name
e-ri-ko-wo,ΕρίκορFος,Erikorfos,personal name
e-ri-nu/e-n-nu-we,Ερινύς,Erinys,goddess' s name
e-ri-ta,Έριθα,Eritha,personal name (fem.)
e-ro-ma-to,Ελόμανθος(>Ερύμανθος),Elomanthos (>Erymanthos),place name
e-ro-pa-ke-ja,ελλοφάγεια,ellophagia,game (hunting)
e-ro-pa-ke-ta/e-ro-pa-ke-u,ελλοφαγέτας/ελλοφαγεύς,ellophagetas/ ellophageus,(deer) hunter (ελλός= young deer)
e-ru-mi-ni-ja,ελύμνιαι,elymniai,roof beams
e-ru-ta-ra,ερυθρά,erythra,red
e-ru-ta-ra,Ερύθρας,Erythras,personal name
e-ru-to-ro,Ερυθρός,Erythros,personal name (= red)
e-sa-re-wi-ja,ΕσαλέFια,Esalevia,ethnic name of 'Esalos'
e-sa-re-u/e-sa-re-we/e-sa-ro,Εσαλεύς/Εσαλος,Esaleus/Esalos,place name
e-ta-je-u,Εταγεύς,Etageus,place name
e-ta-wo-ne-u/e-ta-wo-ne-we/e-ta-wo-ne-wo,ΕταFονεύς,Etavoneus,personal name
e-te,ένθεν,enthen,(from) inside
e-te-do-mo,(e-te)δόμος,(e-te)domos,profession (δόμος= house)
e-te-wa,ΕτέFας,Etevas,personal name
e-te-wo-ke-re-we-i-jo,ΕτεFοκλέFειος(>Ετεόκλιος),Eteoklevios (Eteoklios),'son of Eteokleus'
e-ti-we,(e-ti-)Fεν,(e-ti-)fen,proνided with 'e- ti?'
