id,document_name,link,findspot,scribe,palmprint,chronology,museum_inventory_number,signs,words
1,KN Nc 4470[+]5109,https://liber.cnr.it/tablet/view/1,(L) Arsenal,133,,LM III A2,Herakleion M. 1600 [+] 1604,4,1
3,KN Nc 4474+frr.(3),https://liber.cnr.it/tablet/view/3,(L) Arsenal,133,,LM III A2,Herakleion M. 1458,6,3
4,KN Nc 4475,https://liber.cnr.it/tablet/view/4,(L) Arsenal,133?,,LM III A2,Herakleion M.,2,1
5,KN Nc 4479,https://liber.cnr.it/tablet/view/5,(L) Arsenal,133,,LM III A2,Herakleion M. 1451,5,4
6,KN Nc 4480+8252,https://liber.cnr.it/tablet/view/6,(L) Arsenal,133,,LM III A2,Herakleion M. 1467,4,2
9,KN Nc 4484[+]4488+fr.,https://liber.cnr.it/tablet/view/9,(L) Arsenal,133,,LM III A2,Herakleion M. 1471 [+] 1567,13,5
10,KN Nc 4485,https://liber.cnr.it/tablet/view/10,(L) Arsenal,133,,LM III A2,Herakleion M. 1585,3,1
11,KN Nc 4489+8185+8188+fr.,https://liber.cnr.it/tablet/view/11,(L) Arsenal,133,,LM III A2,Herakleion M. 1576 + 1580 + 1587,6,2
12,KN Nc 4490+5099,https://liber.cnr.it/tablet/view/12,(L) Arsenal,133,,LM III A2,Herakleion M. 1473 + 1562,5,3
32,KN Nc 8173+fr.,https://liber.cnr.it/tablet/view/32,,,133,,,Herakleion M.,3,3
33,KN Nc 8175,https://liber.cnr.it/tablet/view/33,,,133,,,Herakleion M. 1563,4,2
34,KN Nc 8176,https://liber.cnr.it/tablet/view/34,,,133,,,Herakleion M. 1564,3,2
35,KN Nc 8181,https://liber.cnr.it/tablet/view/35,,,133,,,Herakleion M. 1572 (?),2,2
36,KN Nc 8183+fr.,https://liber.cnr.it/tablet/view/36,,,133,,,Herakleion M. 1578,1,1
37,KN X 8186,https://liber.cnr.it/tablet/view/37,,,,,,Herakleion M.,1,1
38,KN Nc 8187+8714,https://liber.cnr.it/tablet/view/38,,,133,,,Herakleion M.,2,1
39,KN Nc 8276,https://liber.cnr.it/tablet/view/39,,,133,,,Herakleion M.,2,1
40,KN Nc 8286+fr.,https://liber.cnr.it/tablet/view/40,,,133,,,Herakleion M.,2,1
41,KN Nc 8300,https://liber.cnr.it/tablet/view/41,,,133,,,Herakleion M.,2,1
42,KN Nc 8309+8318,https://liber.cnr.it/tablet/view/42,,,133,,,Herakleion M.,2,1
43,KN Nc 8313,https://liber.cnr.it/tablet/view/43,,,133?,,,Herakleion M.,1,1
44,KN Nc 8315,https://liber.cnr.it/tablet/view/44,,,133,,,Herakleion M.,1,1
45,KN Nc 8317+fr.,https://liber.cnr.it/tablet/view/45,,,133,,,Herakleion M.,2,2
46,KN Nc 8453+fr.,https://liber.cnr.it/tablet/view/46,,,133,,,Herakleion M.,2,2
47,KN Nc 8454,https://liber.cnr.it/tablet/view/47,,,133,,,Herakleion M.,1,1
48,KN Nc 8455,https://liber.cnr.it/tablet/view/48,,,133,,,Herakleion M.,1,1
49,KN Nc 8456,https://liber.cnr.it/tablet/view/49,,,133,,,Herakleion M.,1,1
50,KN Nc 8542,https://liber.cnr.it/tablet/view/50,,,133?,,,Herakleion M.,1,1
51,KN Nc 8555+9943,https://liber.cnr.it/tablet/view/51,,,133?,,,Herakleion M.,1,1
52,KN Nc 8586,https://liber.cnr.it/tablet/view/52,,,133?,,,Herakleion M.,2,1
53,KN Nc 8630,https://liber.cnr.it/tablet/view/53,,,133?,,,Herakleion M.,1,1
54,KN Nc 8728,https://liber.cnr.it/tablet/view/54,,,133?,,,Herakleion M.,1,1
55,KN Nc 8758+fr.,https://liber.cnr.it/tablet/view/55,,,133,,,Herakleion M.,1,1
56,KN Nc 8803,https://liber.cnr.it/tablet/view/56,,,133,,,Herakleion M.,1,1
57,KN Nc 8804+fr.,https://liber.cnr.it/tablet/view/57,,,133,,,Herakleion M.,1,1
58,KN Nc 8805,https://liber.cnr.it/tablet/view/58,,,133,,,Herakleion M.,1,1
59,KN Np(1) 85+5047+7938+8057,https://liber.cnr.it/tablet/view/59,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 777 + 1243,6,4
60,KN Np(1) 267,https://liber.cnr.it/tablet/view/60,(C) Room of the Chariot Tablets,124-E,R eta,LM II-III A,Herakleion M.,5,3
61,KN Np(1) 268,https://liber.cnr.it/tablet/view/61,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 414,4,4
62,KN Np(1) 269,https://liber.cnr.it/tablet/view/62,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 252,3,2
63,KN Np(1) 270,https://liber.cnr.it/tablet/view/63,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 219,6,6
64,KN Np(1) 271[+]9124,https://liber.cnr.it/tablet/view/64,(C) Room of the Chariot Tablets,124-E,R eta,LM II-III A,Herakleion M. 1236,6,6
65,KN Np(1) 272+7419+fr.,https://liber.cnr.it/tablet/view/65,(C) Room of the Chariot Tablets,124-E,R eta,LM II-III A,Herakleion M. 1235,5,4
66,KN Np(1) 273,https://liber.cnr.it/tablet/view/66,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 1240,6,4
67,KN Np(1) 274,https://liber.cnr.it/tablet/view/67,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 1242,5,5
68,KN Np(1) 276,https://liber.cnr.it/tablet/view/68,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 1246,2,2
69,KN Np(1) 277,https://liber.cnr.it/tablet/view/69,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 1238,3,3
71,KN Np(1) 278+7436+fr.,https://liber.cnr.it/tablet/view/71,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 241,3,3
72,KN Np(1) 286[+]7649+7886,https://liber.cnr.it/tablet/view/72,(C) Room of the Chariot Tablets,124-E,,LM II-III A,Herakleion M. 1246,9,4
73,KN Np(2) 855+7434,https://liber.cnr.it/tablet/view/73,(I3) Area of Bull Relief,134,,LM III A2,Herakleion M. 1111,8,7
74,KN Np(2) 856+7915+7917,https://liber.cnr.it/tablet/view/74,(I3) Area of Bull Relief,134,,LM III A2,Herakleion M. 152,8,5
75,KN Np(2) 857,https://liber.cnr.it/tablet/view/75,(I3) Area of Bull Relief,134,,LM III A2,Herakleion M. 541,6,3
76,KN Np(2) 858,https://liber.cnr.it/tablet/view/76,(I3) Area of Bull Relief,134,,LM III A2,Herakleion M. 1105,5,2
77,KN Np(2) 859,https://liber.cnr.it/tablet/view/77,(I3) Area of Bull Relief,134,,LM III A2,Herakleion M. 1106,5,5
78,KN Np(2) 860+9343,https://liber.cnr.it/tablet/view/78,(I3) Area of Bull Relief,134,,LM III A2,Herakleion M. 194,6,6
79,KN Np(2) 861,https://liber.cnr.it/tablet/view/79,(I3) Area of Bull Relief,134,,LM III A2,Herakleion M. 1107,4,4
80,KN Np(2) 1000+5004,https://liber.cnr.it/tablet/view/80,"(I3) Area of Bull Relief Minos 31-32, p. 110; Minos 35-36, p. 226 (ex I3?)","Minos 31-32, p. 110; Minos 35-36, p. 226 (ex I3?)",134,,LM III A2,Herakleion M. 869,5,3
81,KN Np(2) 5002,https://liber.cnr.it/tablet/view/81,,,134,,,Herakleion M.,3,3
82,KN Np(2) 5008,https://liber.cnr.it/tablet/view/82,,,134,,,Herakleion M.,3,3
83,KN Np(1) 5013[+]7923+8461+fr.,https://liber.cnr.it/tablet/view/83,,,124-E,,,Herakleion M.,7,4
84,KN Np(2) 5721+5945+frr.(9),https://liber.cnr.it/tablet/view/84,,,134,,,Herakleion M.,9,5
85,KN Np(2) 5725+5886+8515,https://liber.cnr.it/tablet/view/85,,,134,,,Herakleion M.,7,4
86,KN Np(2) 5980,https://liber.cnr.it/tablet/view/86,,,134,,,Herakleion M.,2,2
87,KN Np(2) 5982+fr.,https://liber.cnr.it/tablet/view/87,,,134,,,Herakleion M.,3,3
88,KN Np(2) 7417,https://liber.cnr.it/tablet/view/88,,,134,,,Herakleion M.,1,1
89,KN Np(2) 7418,https://liber.cnr.it/tablet/view/89,,,134,,,Herakleion M.,3,3
90,KN Np(2) 7420,https://liber.cnr.it/tablet/view/90,,,134,,,Herakleion M.,2,2
91,KN Np(2) 7421,https://liber.cnr.it/tablet/view/91,,,134,,,Herakleion M.,1,1
92,KN Np(1) 7422,https://liber.cnr.it/tablet/view/92,,,124-E,,,Herakleion M.,2,2
93,KN Np(1) 7423+7641[+]7445,https://liber.cnr.it/tablet/view/93,,,124-E,,,Herakleion M.,10,8
94,KN Np(1) 7424,https://liber.cnr.it/tablet/view/94,,,124-E,,,Herakleion M.,1,1
95,KN Np(2) 7439,https://liber.cnr.it/tablet/view/95,,,134,,,Herakleion M.,3,3
96,KN Np(1) 7441+fr.,https://liber.cnr.it/tablet/view/96,,,124-E,,,Herakleion M.,3,3
97,KN Np(2) 7442+fr.,https://liber.cnr.it/tablet/view/97,— Box VI (N. Entrance),Box VI (N. Entrance),134,,,Herakleion M.,2,2
98,KN Np(2) 7447,https://liber.cnr.it/tablet/view/98,,,134,,,Herakleion M.,3,3
99,KN Np(1) 7508+8594,https://liber.cnr.it/tablet/view/99,,,124-E,,,Herakleion M.,4,4
101,KN Np(1) 7967,https://liber.cnr.it/tablet/view/101,,,124-E,,,Herakleion M.,2,1
102,KN Np(2) 8003,https://liber.cnr.it/tablet/view/102,,,134,,,Herakleion M.,2,2
103,KN Np(1) 8059,https://liber.cnr.it/tablet/view/103,,,124-E,,,Herakleion M.,2,2
104,KN Np(1) 8062+fr.,https://liber.cnr.it/tablet/view/104,,,124-E,,,Herakleion M.,2,2
105,KN Np(1) 8123+8460+fr.,https://liber.cnr.it/tablet/view/105,,,124-E,,,Herakleion M.,3,3
106,KN Np(2) 8249,https://liber.cnr.it/tablet/view/106,,,134,,,Herakleion M.,2,2
107,KN Np(1) 8437,https://liber.cnr.it/tablet/view/107,,,124-E,,,Herakleion M.,1,1
108,KN Np(2) 8457,https://liber.cnr.it/tablet/view/108,,,134,,,Herakleion M.,2,2
109,KN Np(1) 8458,https://liber.cnr.it/tablet/view/109,,,124-E,,,Herakleion M.,2,2
110,KN Np(1) 8459,https://liber.cnr.it/tablet/view/110,,,124-E,,,Herakleion M.,2,2
111,KN Np(1) 8462,https://liber.cnr.it/tablet/view/111,,,124-E,,,Herakleion M.,1,1
113,KN Np(2) 8649+9677+fr.,https://liber.cnr.it/tablet/view/113,— Box VI (N. Entrance),Box VI (N. Entrance),134,,,Herakleion M.,2,2
114,KN Np(1) 9112,https://liber.cnr.it/tablet/view/114,,,124-E,,,Herakleion M.,1,1
115,KN Np(2) 9306,https://liber.cnr.it/tablet/view/115,,,134,,,Herakleion M.,2,2
116,KN X 9362+fr.,https://liber.cnr.it/tablet/view/116,,,,,,Herakleion M.,0,0
117,KN Np(2) 9676+frr.(3),https://liber.cnr.it/tablet/view/117,,,134,,,Herakleion M.,1,1
118,KN Np(2) 9678,https://liber.cnr.it/tablet/view/118,,,134,,,Herakleion M.,3,3
119,KN Oa 730,https://liber.cnr.it/tablet/view/119,(H1) Antechamber to Throne Room,,L epsilon,LM III A2,Herakleion M. 5722,6,6
120,KN Oa 731,https://liber.cnr.it/tablet/view/120,(H1) Antechamber to Throne Room,,L epsilon,LM III A2,Herakleion M. 1073,1,1
121,KN Oa 732,https://liber.cnr.it/tablet/view/121,(H1) Antechamber to Throne Room,,L epsilon,LM III A2,Herakleion M. 1083,3,2
122,KN Oa 733,https://liber.cnr.it/tablet/view/122,"(E1bis) Near N. Entrance to Room of Column Bases Perhaps from the Throne Room (H2) according to R.J. Firth (Minos 35-36, p. 196)","Perhaps from the Throne Room (H2) according to R.J. Firth (Minos 35-36, p. 196)",,,LM III A2,Herakleion M. 417,4,4
123,KN Oa 734,https://liber.cnr.it/tablet/view/123,"(H2) Throne Room Minos 31-32, p. 41-42; Minos 35-36, p. 89, 196, 199 (ex H1? H2?)","Minos 31-32, p. 41-42; Minos 35-36, p. 89, 196, 199 (ex H1? H2?)",,L epsilon,LM III A2,Herakleion M. 950,3,3
124,KN M 745[+]7374,https://liber.cnr.it/tablet/view/124,(H4) Space S. of Bath Corridor,140?,,LM III A2,Herakleion M. 518,18,8
125,KN M 878,https://liber.cnr.it/tablet/view/125,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 1085,8,4
126,KN M 1808 (= 734 bis),https://liber.cnr.it/tablet/view/126,"(G1) Gallery of Jewel Fresco Minos 31-32, p. 104; Minos 35-36, p. 236 (ex G1? H1?)","Minos 31-32, p. 104; Minos 35-36, p. 236 (ex G1? H1?)",,,LM III A2,Herakleion M.,2,2
127,KN Od(4) 485,https://liber.cnr.it/tablet/view/127,(F6) W. Magazine VII,115,,LM III A2,Herakleion M. 1047,7,3
128,KN Od(4) 486,https://liber.cnr.it/tablet/view/128,(F6) W. Magazine VII,115,,LM III A2,Herakleion M. 1047,5,2
129,KN Od(4) 487,https://liber.cnr.it/tablet/view/129,(F6) W. Magazine VII,115,,LM III A2,Herakleion M. 1036,9,7
130,KN Od 502,https://liber.cnr.it/tablet/view/130,(F7) W. Magazine VIII,,,LM III A2,Herakleion M. 1065,10,4
131,KN Od(1) 539+7296+7602,https://liber.cnr.it/tablet/view/131,(F10) W. Magazine XI,103,,LM III A2,Herakleion M. 1143,8,4
132,KN Od(1) 562,https://liber.cnr.it/tablet/view/132,(F11) W. Magazine XII,103,,LM III A2,Herakleion M. 135,30,15
133,KN Od(1) 563,https://liber.cnr.it/tablet/view/133,(F11) W. Magazine XII,103,,LM III A2,Herakleion M. 140,20,7
134,KN Od(1) 570,https://liber.cnr.it/tablet/view/134,(F8) W. Magazine IX,103,,LM III A2,Herakleion M. 1127,5,3
135,KN Od 666,https://liber.cnr.it/tablet/view/135,(F14) W. Magazine XV,115,,LM III A2,Herakleion M. 1260,34,21
136,KN Od(1) 667+5898+8292+fr.,https://liber.cnr.it/tablet/view/136,(F14) W. Magazine XV,103,,LM III A2,Herakleion M. 1164,27,19
137,KN Od(1) 681,https://liber.cnr.it/tablet/view/137,(F18) N. end of Long Corridor,103,,LM III A2,Herakleion M. 149,25,8
138,KN Od(1) 682,https://liber.cnr.it/tablet/view/138,(F18) N. end of Long Corridor,103,,LM III A2,Herakleion M. 847,5,3
139,KN Od(1) 687,https://liber.cnr.it/tablet/view/139,(F18) N. end of Long Corridor,103,,LM III A2,Herakleion M. 845,13,5
140,KN Od(1) 688,https://liber.cnr.it/tablet/view/140,(F18) N. end of Long Corridor,103,R zeta,LM III A2,Herakleion M. 144,10,5
141,KN Od(1) 689,https://liber.cnr.it/tablet/view/141,(F10) W. Magazine XI,103,,LM III A2,Herakleion M. 147,8,5
142,KN Od(1) 690,https://liber.cnr.it/tablet/view/142,(F18) N. end of Long Corridor,103,,LM III A2,Herakleion M. 120,16,8
143,KN L 696[+]698,https://liber.cnr.it/tablet/view/143,(F19) N.W. Passage,103,,LM III A2,Herakleion M. 946 [+] 931,41,19
144,KN Od(2) 714,https://liber.cnr.it/tablet/view/144,(G1) Gallery of Jewel Fresco,103,,LM III A2,Herakleion M. 940,10,4
145,KN Od(2) 715,https://liber.cnr.it/tablet/view/145,(G1) Gallery of Jewel Fresco,103,,LM III A2,Herakleion M. 1149,11,4
146,KN Od(2) 716,https://liber.cnr.it/tablet/view/146,(G1) Gallery of Jewel Fresco,103,,LM III A2,Herakleion M. 943,7,3
147,KN Od(2) 718,https://liber.cnr.it/tablet/view/147,(G1) Gallery of Jewel Fresco,103,,LM III A2,Herakleion M. 1169,4,1
148,KN Od(5) 765+7320+frr.(3),https://liber.cnr.it/tablet/view/148,(I1) Room of Flower Gatherer,227,,LM III A2,Herakleion M. 1047,10,5
149,KN Od(3) 1062+fr.,https://liber.cnr.it/tablet/view/149,"(K) S.E. Front Minos 31-32, p. 122; Minos 35-36, p. 123. 238 (ex B1? K1?)","Minos 31-32, p. 122; Minos 35-36, p. 123. 238 (ex B1? K1?)",,,LM III A2,Herakleion M. 1169,3,3
150,KN Od(3) 1063,https://liber.cnr.it/tablet/view/150,"(K) S.E. Front Minos 31-32, p. 122; Minos 35-36, p. 123. 238 (ex B1? K?)","Minos 31-32, p. 122; Minos 35-36, p. 123. 238 (ex B1? K?)",,,LM III A2,Herakleion M. 1158,3,3
151,KN Od 2026,https://liber.cnr.it/tablet/view/151,,,115?,,,Herakleion M.,4,2
152,KN Od 5003,https://liber.cnr.it/tablet/view/152,,,,,,Herakleion M. 867,6,3
153,KN Od 5082,https://liber.cnr.it/tablet/view/153,,,,R zeta,,Herakleion M.,4,2
155,KN Od 5558,https://liber.cnr.it/tablet/view/155,,,,,,Herakleion M.,5,3
156,KN Dk(1) 5620,https://liber.cnr.it/tablet/view/156,,,120?,,,Herakleion M.,2,2
157,KN Od 5711,https://liber.cnr.it/tablet/view/157,,,,,,Herakleion M.,4,4
158,KN Dk(1) 5758,https://liber.cnr.it/tablet/view/158,,,120?,L eta (?),,Herakleion M.,4,4
159,KN Od 5846,https://liber.cnr.it/tablet/view/159,,,,,,Herakleion M.,2,2
160,KN Od 5966,https://liber.cnr.it/tablet/view/160,,,103,,,Herakleion M.,5,4
161,KN Dp 7298,https://liber.cnr.it/tablet/view/161,,,,,,Herakleion M.,2,2
162,KN Od 7302,https://liber.cnr.it/tablet/view/162,,,,,,Herakleion M.,3,3
163,KN Od(4) 7305,https://liber.cnr.it/tablet/view/163,,,115?,,,Herakleion M.,3,3
164,KN Dk(1) 7307,https://liber.cnr.it/tablet/view/164,,,120?,,,Herakleion M.,5,5
165,KN Od 7309,https://liber.cnr.it/tablet/view/165,,,103,,,Herakleion M.,4,4
166,KN Od(2) 7310,https://liber.cnr.it/tablet/view/166,,,103,,,Herakleion M.,3,3
167,KN Od(5) 7312,https://liber.cnr.it/tablet/view/167,,,227,,,Herakleion M.,4,4
168,KN Od 7317,https://liber.cnr.it/tablet/view/168,,,,,,Herakleion M.,3,3
169,KN Od(1) 7324,https://liber.cnr.it/tablet/view/169,,,103,,,Herakleion M.,2,2
170,KN Od(5) 7326,https://liber.cnr.it/tablet/view/170,,,227,,,Herakleion M.,3,3
171,KN Od 7388,https://liber.cnr.it/tablet/view/171,,,,,,Herakleion M.,6,4
172,KN Od(5) 7779+frr.(5),https://liber.cnr.it/tablet/view/172,— Box II / IV (W. Magazines),Box II / IV (W. Magazines),227,,,Herakleion M.,4,4
173,KN Dk(1) 7927,https://liber.cnr.it/tablet/view/173,,,120?,,,Herakleion M.,2,2
174,KN Od 8044,https://liber.cnr.it/tablet/view/174,,,,,,Herakleion M.,2,2
175,KN Od 8196+fr.,https://liber.cnr.it/tablet/view/175,,,,,,Herakleion M. 1598 + 1608,7,3
176,KN Od 8202+fr.,https://liber.cnr.it/tablet/view/176,,,,,,Herakleion M. 1606,8,4
177,KN Dl(1a) 8465,https://liber.cnr.it/tablet/view/177,,,,,,Herakleion M.,5,5
178,KN Od 8563,https://liber.cnr.it/tablet/view/178,,,103??,,,Herakleion M.,3,2
179,KN Od(5) 8628+frr.(3),https://liber.cnr.it/tablet/view/179,— Box II (W. Magazines),Box II (W. Magazines),227,,,Herakleion M.,3,3
180,KN Od 8722,https://liber.cnr.it/tablet/view/180,,,,,,Herakleion M.,2,2
181,KN Dk(1) 9004,https://liber.cnr.it/tablet/view/181,,,120?,,,Herakleion M.,2,2
182,KN Od 9039,https://liber.cnr.it/tablet/view/182,,,,,,Herakleion M.,2,2
183,KN Od 9245,https://liber.cnr.it/tablet/view/183,,,,,,Herakleion M.,4,4
184,KN Dk(1) 9246,https://liber.cnr.it/tablet/view/184,,,120?,,,Herakleion M.,2,2
185,KN Dk(1) 9302,https://liber.cnr.it/tablet/view/185,,,120?,,,Herakleion M.,2,2
186,KN Dk(1) 9304,https://liber.cnr.it/tablet/view/186,,,120?,,,Herakleion M.,2,2
187,KN Od 9305,https://liber.cnr.it/tablet/view/187,,,,,,Herakleion M.,3,3
188,KN Od 9360,https://liber.cnr.it/tablet/view/188,,,,,,Herakleion M.,2,2
189,KN Od 9414,https://liber.cnr.it/tablet/view/189,,,,,,Herakleion M.,4,4
190,KN Od 9415,https://liber.cnr.it/tablet/view/190,,,,,,Herakleion M.,3,3
191,KN Od 9416+9557,https://liber.cnr.it/tablet/view/191,,,,,,Herakleion M.,4,4
192,KN Dk(1) 9418,https://liber.cnr.it/tablet/view/192,,,120?,,,Herakleion M.,2,2
193,KN Dk(1) 9419+fr.,https://liber.cnr.it/tablet/view/193,,,120?,,,Herakleion M.,3,3
194,KN Dk(1) 9420,https://liber.cnr.it/tablet/view/194,,,120?,,,Herakleion M.,3,3
195,KN Od 9421,https://liber.cnr.it/tablet/view/195,,,,,,Herakleion M.,3,3
196,KN Dk(1) 9422,https://liber.cnr.it/tablet/view/196,,,120?,,,Herakleion M.,4,4
197,KN Dk(1) 9441,https://liber.cnr.it/tablet/view/197,,,120?,,,Herakleion M.,2,2
198,KN Od 9445,https://liber.cnr.it/tablet/view/198,,,,,,Herakleion M.,4,4
199,KN Od 9673,https://liber.cnr.it/tablet/view/199,,,,,,Herakleion M.,2,2
201,KN Od 9719,https://liber.cnr.it/tablet/view/201,,,,,,Herakleion M.,3,3
202,KN Od 9771,https://liber.cnr.it/tablet/view/202,,,,,,Herakleion M.,2,2
203,KN Od 9772,https://liber.cnr.it/tablet/view/203,,,,,,Herakleion M.,1,1
204,KN Od 9773,https://liber.cnr.it/tablet/view/204,,,,,,Herakleion M.,1,1
205,KN Od 9774,https://liber.cnr.it/tablet/view/205,,,,,,Herakleion M.,1,1
206,KN Od 9843,https://liber.cnr.it/tablet/view/206,,,,,,Herakleion M.,1,1
208,KN Od 9890,https://liber.cnr.it/tablet/view/208,,,,,,Herakleion M.,2,2
209,KN Od 9891,https://liber.cnr.it/tablet/view/209,,,,,,Herakleion M.,1,1
210,KN Og(1) 180,https://liber.cnr.it/tablet/view/210,(C) Room of the Chariot Tablets,124-μ,,LM II-III A,Herakleion M. 829,16,11
211,KN Og 833+959,https://liber.cnr.it/tablet/view/211,(I3) Area of Bull Relief,,,LM III A2,Herakleion M. 96 + 883,45,23
212,KN Og 1527,https://liber.cnr.it/tablet/view/212,"(J3) Corridor of Sword Tablets Minos 35-36, p. 249-250, 252 (ex J3?)","Minos 35-36, p. 249-250, 252 (ex J3?)",,,LM III A2,Herakleion M. 574,27,15
213,KN Og(1) 1804 (= 58 bis),https://liber.cnr.it/tablet/view/213,(C) Room of the Chariot Tablets,124,,LM II-III A,Herakleion M. 910,9,6
214,KN Og(2) ‹4467›,https://liber.cnr.it/tablet/view/214,(L) Arsenal,,,LM III A2,,26,11
215,KN Og 5019,https://liber.cnr.it/tablet/view/215,"(F6) W. Magazine VII Minos 35-36, p. 86, 215 (ex —)","Minos 35-36, p. 86, 215 (ex —)",,,LM III A2,Herakleion M.,5,5
216,KN Og(1) 5095,https://liber.cnr.it/tablet/view/216,,,124,,,Herakleion M. 914,4,4
217,KN Og 5515+5518+5539,https://liber.cnr.it/tablet/view/217,,,,,,Herakleion M.,6,4
218,KN Og 5551,https://liber.cnr.it/tablet/view/218,,,,,,Herakleion M.,2,2
219,KN Og 5778+frr.,https://liber.cnr.it/tablet/view/219,,,,,,Herakleion M.,4,3
220,KN Og 7430+fr.,https://liber.cnr.it/tablet/view/220,,,,,,Herakleion M.,2,2
221,KN Og(1) 7432,https://liber.cnr.it/tablet/view/221,,,124-5,,,Herakleion M.,4,4
222,KN Og 7435,https://liber.cnr.it/tablet/view/222,,,,,,Herakleion M.,4,3
223,KN Od(4) 7440,https://liber.cnr.it/tablet/view/223,,,115?,,,Herakleion M.,3,3
