linear_b,word_type,part_of_speech,inflection,confidence,greek,reasoning
a-di-ri-ja-te,3,2,1,0.9,ανδριαντει,"The word 'a-di-ri-ja-te' has the cognate 'ανδριαντει'. The Linear B word ends in '-te', which is an ablative suffix and should be ignored. The remaining part 'a-di-ri-ja' corresponds to the Greek word 'ανδριας' (statue, image of a man). The cognate 'ανδριαντει' is the dative plural of 'ανδριας', meaning 'for/to statues'. Therefore, 'a-di-ri-ja' is likely an adjective in the dative plural form, describing something related to statues or images of men. Since it's an adjective, it's classified as part_of_speech 2. The ending '-a' suggests a thematic inflection in -a."
a-di-ri-jo,3,2,2,0.9,ανδριος|ανηρ,"The word 'a-di-ri-jo' has Greek cognates 'ανδριος' and 'ανηρ'. 'ανηρ' means 'man', and 'ανδριος' is an adjective derived from it, meaning 'manly' or 'belonging to a man'. The Linear B word likely represents a personal name or a name derived from the concept of 'man'. The ending '-jo' doesn't directly correspond to a thematic -o declension. However, considering the cognate 'ανηρ', which is an athematic noun, and the possibility of the Linear B word being a derivative or a related form, it's more likely to be an athematic noun. The -jo ending could be a modified genitive or another case form. Therefore, I classify it as an anthroponym (0), a noun (0), and athematic (2)."
a-du,3,2,2,0.9,αδυ,The word 'a-du' has the cognate 'αδυ'. The word 'αδυ' means 'sweet' or 'pleasant'. It is an athematic noun. The Linear B word 'a-du' is therefore classified as a common noun with athematic inflection.
a-e-ri-qo-ta,0,0,1,0.95,αελιποτας,"The word 'a-e-ri-qo-ta' has the Greek cognate 'αελιποτας'. The lexicon entries suggest it's an anthroponym. The ending '-ta' corresponds to the thematic declension in -a, which is common for personal names. Therefore, it's classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -a (inflection = 1)."
a-e-ti-to,3,2,0,0.85,αεθιστος|εθιζω,"The word 'a-e-ti-to' has cognates 'αεθιστος' and 'εθιζω'. 'εθιζω' means 'to accustom'. 'αεθιστος' means 'unaccustomed, unpracticed'. The Linear B word likely represents an adjective meaning 'unaccustomed'. The ending '-to' suggests a thematic adjective in -o."
a-i-ke-u,0,0,2,0.9,αιγευς,"The word 'a-i-ke-u' has the cognate 'αιγευς' (aigeus). The lexicon indicates it's a personal name. The ending '-u' corresponds to the athematic declension, similar to 'agreus' and 'khalkeus' in the examples."
a-i-ki-pa-ta,0,0,1,0.9,αιγιπατας,"The word 'a-i-ki-pa-ta' has the cognate 'αιγιπατας', which means 'Aegipatas'. The lexicon entry also indicates it's a personal name. The ending '-ta' suggests an athematic inflection, as thematic nouns typically end in -o or -a. Therefore, it is classified as an anthroponym (personal name), a noun, and athematic."
a-i-qe-u,0,0,2,0.95,αιγευς,"The word 'a-i-qe-u' has the Greek cognate 'αιγευς', which means 'Aegeus'. According to Chadwick & Ventris, it is an anthroponym. The ending '-u' suggests an athematic inflection, similar to other anthroponyms like 'ka-ke-u' (χαλκευς) and 'a-ke-re-u' (αγρευς). Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
a-i-qe-we,0,0,2,0.9,αιγευς,"The word 'a-i-qe-we' has the cognate 'αιγευς' (aigeus). The lexicon entry indicates it's a personal name. The ending '-we' corresponds to the athematic declension, as the cognate ends in -ευς. Therefore, it's an anthroponym (personal name), a noun, and athematic."
a-i-qe-wo,0,0,2,0.9,αιγευς,"The word 'a-i-qe-wo' has the cognate 'αιγευς' (aigeus), which is a personal name. The lexicon also indicates it's a personal name. The ending '-wo' corresponds to the genitive form of athematic nouns (ending in -ος in ancient greek, which corresponds to -o in Linear B). Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
a-ja-me-na,3,2,1,0.95,αιασμενα|αιασμενος,"The word 'a-ja-me-na' has cognates 'αιασμενα' and 'αιασμενος'. These are forms of the verb 'αιω' (to respect, revere) in the perfect passive participle. The ending '-me-na' is characteristic of participles, and since participles are classified as adjectives, the part of speech is adjective. The '-na' ending indicates a thematic inflection in -a."
a-ja-me-no,3,2,0,0.95,αιασμενος,"The word 'a-ja-me-no' has the cognate 'αιασμενος', which is a perfect passive participle meaning 'inlaid' or 'decorated'. Participles are classified as adjectives. The ending '-me-no' is characteristic of perfect passive participles, and the '-o' ending suggests a thematic inflection."
a-ka-i-jo,2,2,0,0.95,αχαιοι|αχαιος,"The word 'a-ka-i-jo' has the Greek cognates 'αχαιοι' and 'αχαιος', which refer to the Achaeans, an ethnic group. Therefore, the word type is ethnonym. The ending '-jo' suggests a thematic noun in -o, and the cognates confirm this. Thus, it's a noun with thematic inflection in -o."
a-ka-ma-no,0,0,2,0.95,αλκμανωρ,"The word 'a-ka-ma-no' has the Greek cognate 'αλκμανωρ' (Alkmanor), which is a personal name (anthroponym). The Linear B word likely represents a similar anthroponym. The ending '-no' does not fit the thematic -o or -a declensions. The cognate's ending '-ωρ' suggests an athematic declension, so the Linear B word is classified as athematic."
a-ka-ra-no,3,2,0,0.95,ακαρανος,"The word 'a-ka-ra-no' has the Greek cognate 'ακαρανος', which means 'without a top' or 'headless'. This suggests that 'a-ka-ra-no' is an adjective. The ending '-no' corresponds to the thematic -o ending, indicating a thematic adjective. Therefore, the inflection is classified as 0."
a-ka-si-jo-ne,1,0,2,0.9,ακασιον|ακασιονει,"The word 'a-ka-si-jo-ne' has cognates 'ακασιον' and 'ακασιονει', and is identified as a place name (toponym) in the lexicon. The ending '-ne' doesn't directly correspond to any thematic inflection. However, considering the cognates and the lexicon entry, it's likely an athematic noun. The ending -ne could be a variation of the athematic dative/locative ending -e/-i, or a different case ending altogether. Given the uncertainty, but the strong evidence for a place name, I classify it as athematic."
a-ka-ta-jo,0,0,0,0.95,ακταιος,"The word 'a-ka-ta-jo' has the Greek cognate 'ακταιος'. The lexicon entries also suggest it's an anthroponym, specifically a personal name. The ending '-jo' corresponds to the thematic genitive singular ending '-ojo' in the declension table, indicating a thematic noun in -o. Therefore, it's classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
a-ka-to,0,0,0,0.9,αγαθος,"The word 'a-ka-to' has the Greek cognate 'αγαθος' (agathos), meaning 'good'. The lexicon entry also suggests it's an anthroponym, similar to other names like Ἄγαθος. The ending '-to' suggests a thematic noun in -o."
a-ka-wi-ja-de,1,0,1,0.95,αχαιfια|αχαιfιανδε|αχαια,"The word 'a-ka-wi-ja-de' has the cognates 'αχαιfια', 'αχαιfιανδε', and 'αχαια', which refer to Achaea, a region in Greece. The suffix '-de' is an allative/demonstrative suffix, so we consider 'a-ka-wi-ja'. The cognates suggest that this is a toponym (place name). The ending '-a' suggests that it is a thematic noun in -a."
a-ka-wo,2,0,0,0.95,αχαιfος|αχαιος,"The word 'a-ka-wo' has Greek cognates 'αχαιfος/αχαιος', which refer to 'Achaeans' or 'Greeks'. The lexicon entries also suggest it's a personal/ethnic name. Therefore, it's classified as an ethnonym (4). The ending '-o' suggests it's a thematic noun in -o (inflection 0). It is a noun (part_of_speech 0)."
a-ke,3,1,-1,0.9,αγεεν|αγει|αγω,"The Linear B word 'a-ke' has Greek cognates 'αγεεν', 'αγει', 'αγω', which are related to the verb 'to lead' or 'to send'. The Linear B word likely represents a verb form. Since it doesn't end in -si, it's not 3rd person plural. It could be a 3rd person singular, but the cognates suggest a more general verb form. Given the cognates and the lack of specific inflectional endings, it's most likely a verb. Therefore, part_of_speech is 1, and inflection is -1 (not applicable for verbs)."
a-ke-e,3,1,-1,0.9,αγειν,"The word 'a-ke-e' has the cognate 'αγειν' (agein), which means 'to send'. The Linear B word likely represents a verb form. The ending '-e' is consistent with the infinitive form of verbs in Mycenaean Greek. Therefore, it is classified as a common word, a verb, and inflection is not applicable."
a-ke-i,0,0,2,0.85,αιγει,"The word 'a-ke-i' has the cognate 'αιγει'. This suggests it is a personal name (anthroponym). The ending '-i' suggests an athematic inflection. The cognate does not end in -o or -a, further supporting the athematic classification."
a-ke-jo,2,0,0,0.95,αργειος,"The word 'a-ke-jo' has the cognate 'αργειος', which refers to someone from Argos. The lexicon entry confirms it's an ethnic name. The ending '-o' suggests it's a thematic noun in -o, likely a nominative singular form."
a-ke-jo-jo,1,0,0,0.95,αργειοιο|αργειος,"The word 'a-ke-jo-jo' has the Greek cognates 'αργειοιο' and 'αργειος'. 'Αργειος' refers to Argos or Argive, so 'a-ke-jo-jo' is a toponym (place name). The ending '-ojo' corresponds to the genitive singular of thematic nouns in -o, so the inflection is 0."
a-ke-o-jo,2,0,0,0.95,αργειοιο,"The word 'a-ke-o-jo' has the cognate 'αργειοιο', which is the genitive form of 'Argos', an ethnonym (ethnic name of 'Argos'). The ending '-ojo' corresponds to the thematic genitive singular in -o, so it is a thematic noun in -o."
a-ke-ra-wo,0,0,0,0.9,αρχελαfος|αρχελαfων,"The word 'a-ke-ra-wo' has cognates 'αρχελαfος' and 'αρχελαfων', suggesting it is a personal name (anthroponym). The ending '-wo' suggests a thematic noun in -o. The lexicon entries also support this classification as a personal name."
a-ke-re,3,1,-1,0.95,αγειρειν|αγειρω|αγειρει,"The word 'a-ke-re' has cognates 'αγειρειν|αγειρω|αγειρει' which are verbs meaning 'to gather/collect'. The lexicon entries also support this interpretation. The ending '-e' is consistent with a 3rd person singular verb form. Therefore, it is classified as a common word (5), a verb (1), and inflection is not applicable (-1) for verbs."
a-ke-re-u,0,0,2,0.8,αγρευθεν|αγρευς,"The word 'a-ke-re-u' has the Greek cognate 'αγρευς' (agreus), meaning 'hunter'. The lexicon also suggests it could be an anthroponym. The ending '-u' suggests an athematic noun inflection. Therefore, it is classified as an anthroponym (person name), a noun, and athematic."
a-ke-re-u-te,1,0,2,0.85,αγρευθεν,"The word 'a-ke-re-u-te' has the Greek cognate 'αγρευθεν'. The suffix '-te' is an ablative suffix, so we should consider 'a-ke-re-u' which has the cognate 'αγρευς'. The lexicon entries suggest it's a toponym. The ending '-u' suggests an athematic inflection. Therefore, it's a toponym (place name), a noun, and athematic."
a-ke-re-wa,1,0,1,0.85,αγρεfα|αγρεfανδε,"The word 'a-ke-re-wa' has cognates 'αγρεfα' and 'αγρεfανδε'. The lexicon entries suggest it's a place name, possibly related to 'Agreus'. The ending '-wa' corresponds to the thematic -a declension, making it a toponym (place name) and a thematic noun in -a."
a-ke-re-wa-de,1,0,1,0.9,αγρεfανδε,"The word 'a-ke-re-wa-de' has the cognate 'αγρεfανδε'. Removing the suffix '-de', we are left with 'a-ke-re-wa', which corresponds to a place name. The ending '-a' suggests that it is a thematic noun in -a."
a-ke-re-we,1,0,1,0.85,αγρεfα,"The word 'a-ke-re-we' has the Greek cognate 'αγρεfα'. The lexicon suggests it's a place name (toponym). The ending '-we' corresponds to the thematic inflection in '-a' (feminine form) as the cognate ends in -α. Therefore, it's classified as a toponym (word_type = 3), a noun (part_of_speech = 0), and thematic in -a (inflection = 1)."
a-ke-re-wi-jo,2,0,0,0.95,αγρεfιος,"The word 'a-ke-re-wi-jo' has the Greek cognate 'αγρεfιος'. The lexicon entries suggest it's an ethnic name of 'Agrefa'. The ending '-jo' suggests a thematic noun in -o, likely an ethnonym referring to someone from Agrefa."
a-ke-ro,0,0,0,0.75,αγγελος|αχερων,"The word 'a-ke-ro' has cognates 'αγγελος' (angelos) and 'αχερων' (acheron). 'αγγελος' means 'messenger', which is a common noun but can also be a personal name. 'αχερων' is a river name, which could be a toponym or a personal name. The lexicon entries also suggest 'messenger' or 'personal name'. Given the -o ending, it is likely a thematic noun in -o. Therefore, I classify it as an anthroponym (personal name) with thematic inflection in -o."
a-ke-te,3,0,2,0.85,ακτη,"The word 'a-ke-te' has the cognate 'ακτη' (akte). Akte means 'shore, headland'. The Linear B word ends in '-te'. The cognate is an athematic noun, and the Linear B word likely represents a form of this noun. Therefore, it is classified as a common noun with athematic inflection."
a-ke-te-re,3,0,2,0.9,αγετερες|ασκετερες,"The word 'a-ke-te-re' has cognates 'αγετερες' and 'ασκετερες'. The lexicon entries suggest it refers to 'finishers' or 'those who practice their craft'. The ending '-e' in Linear B can correspond to various Greek endings, but given the cognates and the context, it's likely an athematic plural nominative/accusative form. Therefore, it's a common noun, and the athematic inflection is chosen based on the cognates and the variable ending."
a-ke-ti-ri-ja,3,0,1,0.95,ασκετρια|ασκητριαων|ασκητριαι,"The word 'a-ke-ti-ri-ja' has Greek cognates 'ασκετρια', 'ασκητριαων', and 'ασκητριαι'. These cognates suggest a feminine noun, likely an occupational agent noun. The ending '-ja' corresponds to the thematic -a declension. Therefore, it's a common noun with thematic inflection in -a."
a-ke-ti-ri-ja-i,3,0,1,0.95,ασκητριαων|ασκητριαι,"The word 'a-ke-ti-ri-ja-i' has the Greek cognates 'ασκητριαων' and 'ασκητριαι', which are feminine nouns meaning 'female decorators'. The Linear B word likely represents a plural form of this noun. The ending '-ja-i' corresponds to the '-αι' ending in the Greek cognate 'ασκητριαι', which is a thematic noun in -a (first declension) in the plural dative case. Therefore, the Linear B word is classified as a common noun, thematic in -a."
a-ke-ti-rya,3,0,1,0.95,ασκητριαων|ασκητριαι,"The word 'a-ke-ti-rya' has Greek cognates 'ασκητριαων' and 'ασκητριαι', which are feminine nouns meaning 'female worker/decorator'. The Linear B word likely represents a similar occupational agent noun in the feminine form. The ending '-rya' corresponds to the thematic inflection in -a, specifically the plural form '-αι' (nominative plural) or '-ων' (genitive plural) in the cognates. Therefore, it is classified as a common noun with thematic inflection in -a."
a-ke-ti-rya-o,3,0,1,0.95,ασκητριαι|ασκητριαων,"The word 'a-ke-ti-rya-o' has cognates 'ασκητριαι' and 'ασκητριαων', which are feminine nouns meaning 'female decorators'. The Linear B word likely represents a noun in the plural form. The ending '-rya-o' suggests a thematic noun in -a, specifically the genitive plural form (-ao in the declension table). Therefore, it's a common noun, part of speech is noun, and inflection is thematic in -a."
a-ke-to-ro,0,0,0,0.95,αλεκτωρ,"The word 'a-ke-to-ro' has the Greek cognate 'αλεκτωρ' (alektor), which means 'rooster'. Therefore, 'a-ke-to-ro' is classified as an animal name. The ending '-ro' suggests a thematic noun in -o."
a-ke-u,0,0,2,0.9,αλκευς,"The word 'a-ke-u' has the Greek cognate 'αλκευς' (alkeus), which means 'powerful one' or is a personal name. The lexicon entries also suggest it is either 'powerful' or a 'personal name'. The ending '-u' suggests an athematic inflection. Therefore, it is classified as an anthroponym (personal name), a noun, and athematic."
a-ke-wo,0,0,2,0.9,αλκευς,"The word 'a-ke-wo' has the Greek cognate 'αλκευς' (alkeus). According to the lexicon, it is a personal name. The ending '-wo' corresponds to the athematic declension, as the cognate ends in -ευς. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic inflection (inflection = 2)."
a-ki-ha-ri-ja-de,1,0,1,0.95,αιγιhαλια|αιγιhαλιανδε,"The word 'a-ki-ha-ri-ja-de' has the cognates 'αιγιhαλια' and 'αιγιhαλιανδε'. The lexicon indicates it's a place name. The suffix '-de' can be an allative/demonstrative suffix. The base word 'a-ki-ha-ri-ja' corresponds to 'αιγιhαλια', which is a toponym (place name). The ending '-a' suggests a thematic noun in -a."
a-ki-re-u,0,0,2,0.95,αχιλευς,"The word 'a-ki-re-u' has the cognate 'αχιλευς' (Achilles), which is a personal name (anthroponym). The Linear B word ends in '-u', which is consistent with athematic nouns. Therefore, it is classified as an anthroponym, a noun, and athematic."
a-ki-re-we,0,0,2,0.95,αχιλλfεης|αχιλευς,"The word 'a-ki-re-we' has Greek cognates 'αχιλλfεης' and 'αχιλευς', both forms of 'Achilles'. The lexicon entry confirms it is a personal name. The ending '-we' corresponds to the athematic declension, as the cognates suggest a name like Achilles, which is athematic. The -e ending can be a dative or vocative form, which are athematic."
a-ki-ri-ja,3,2,1,0.95,αγρια,"The word 'a-ki-ri-ja' has the Greek cognate 'αγρια' (agria), which means 'wild' or 'savage'. This suggests that 'a-ki-ri-ja' is an adjective. The ending '-ja' corresponds to the thematic -a inflection, typical of adjectives (and nouns) in the first declension. Therefore, it is classified as an adjective with thematic inflection in -a."
a-ki-ti-to,3,2,2,0.9,ακτιστος,"The word 'a-ki-ti-to' has the Greek cognate 'ακτιστος', which means 'uncreated' or 'not built'. This suggests that 'a-ki-ti-to' is an adjective. The ending '-to' does not clearly indicate a thematic or athematic inflection. However, given the cognate 'ακτιστος', which is an athematic adjective, I classify 'a-ki-ti-to' as an athematic adjective (inflection = 2)."
a-ki-to-jo,0,0,0,0.9,αλχιτος,"The word 'a-ki-to-jo' has the cognate 'αλχιτος'. The Linear B word ends in '-jo', which corresponds to the genitive singular ending '-ojo' for thematic nouns in -o. Therefore, it is likely an anthroponym (person name) in the genitive case, and a thematic noun in -o."
a-ko,1,0,0,0.9,αγος|αγκος,"The word 'a-ko' has cognates 'αγος' and 'αγκος', which refer to a holy place/grove or valley. The lexicon entry also supports this interpretation. Therefore, 'a-ko' is classified as a toponym (place name). The word ends in '-o', indicating a thematic noun in -o."
a-ko-ra,3,0,1,0.9,αγορα,"The word 'a-ko-ra' has the Greek cognate 'αγορα' (agora), meaning 'public assembly' or 'market place'. This indicates it is a common noun. The ending '-a' suggests it is a thematic noun in -a."
a-ko-ra-ja,3,2,1,0.9,αγοραια|αγοραιος,"The word 'a-ko-ra-ja' has cognates 'αγοραια' and 'αγοραιος', which are adjectives meaning 'related to the agora' or 'of the agora'. The ending '-ja' corresponds to the feminine form of the adjective, indicating a thematic inflection in -a. Therefore, it is classified as a common adjective with thematic inflection in -a."
a-ko-ra-jo,3,2,0,0.95,αγοραιος,"The word 'a-ko-ra-jo' has the cognate 'αγοραιος', which is an adjective meaning 'belonging to the agora' or 'used for communal purposes'. The ending '-o' suggests that it is a thematic adjective in -o."
a-ko-ro,3,0,0,0.9,αγρος,"The word 'a-ko-ro' has the Greek cognate 'αγρος' (agros), meaning 'field' or 'territory'. This suggests that 'a-ko-ro' is a common noun. The ending '-o' indicates that it is a thematic noun in -o."
a-ko-ro-da-mo,0,0,0,0.95,ακροδημος,"The word 'a-ko-ro-da-mo' has the Greek cognate 'ακροδημος', which is an anthroponym (person name). The Linear B word ends in '-o', suggesting a thematic noun in -o. The lexicon entries also confirm it is an anthroponym. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
a-ko-ro-we,3,0,2,0.85,αγρος,"The word 'a-ko-ro-we' has the cognate 'αγρος' (agros), meaning 'field'. The Linear B word likely refers to something related to fields. The ending '-we' doesn't directly correspond to a standard thematic inflection. However, given the cognate and the lexicon entries suggesting interpretations related to oxen or pointed ears, it's plausible that 'a-ko-ro-we' is an athematic noun in a specific case (possibly dual nominative/accusative, as suggested by Chadwick & Ventris). The athematic inflection is chosen because the ending -we does not match the thematic -o or -a declensions. The word is classified as a common noun."
a-ko-so-ne,3,0,2,0.95,αξονες,"The word 'a-ko-so-ne' has the cognate 'αξονες' (axles), which is a common noun meaning 'axles'. The ending '-ne' corresponds to the plural nominative/accusative of athematic nouns in ancient greek (ending in -ες). Therefore, the word is classified as a common noun with athematic inflection."
a-ko-so-ta,0,0,1,0.95,ακσοτας|αξοτας,"The word 'a-ko-so-ta' has Greek cognates 'ακσοτας' and 'αξοτας'. Both lexicon entries suggest it's a personal name (anthroponym). The ending '-ta' suggests a thematic noun in -a, aligning with the first declension in ancient Greek."
a-ko-so-ta-o,0,0,0,0.9,αξοταο,"The word 'a-ko-so-ta-o' has the cognate 'αξοταο', and the lexicon indicates it's a personal name. The ending '-o' suggests it's a thematic noun in -o."
a-ko-te-u,0,0,2,0.95,αργοθευς,"The word 'a-ko-te-u' has the cognate 'αργοθευς', which is a personal name. The lexicon also confirms it as an anthroponym. The ending '-u' suggests an athematic inflection, similar to 'agreus' and 'khalkeus' in the examples. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
a-ko-to,0,0,0,0.95,ακτωρ|αχθων,"The word 'a-ko-to' has cognates 'ακτωρ' and 'αχθων'. The lexicon entries also suggest it's a personal name (anthroponym). The ending '-to' suggests a thematic noun in -o. The cognate 'ακτωρ' is an athematic noun, but 'αχθων' is thematic. Given the Linear B word ends in '-to', and the lexicon entries support a personal name, I classify it as an anthroponym, a noun, and thematic in -o."
a-ko-to-no,3,2,0,0.95,ακτοινος,"The word 'a-ko-to-no' has the cognate 'ακτοινος', which means 'not possessing a plot'. This suggests it is an adjective. The ending '-o' indicates a thematic adjective in -o."
a-ko-wo,3,2,0,0.9,ακορfος,"The word 'a-ko-wo' has the cognate 'ακορfος', which means 'childless, unaccompanied'. This suggests that 'a-ko-wo' is an adjective. The ending '-o' indicates that it is a thematic adjective in -o."
a-ku-ri-jo,0,0,0,0.9,αγριος,"The word 'a-ku-ri-jo' has the Greek cognate 'αγριος' (agrios), meaning 'wild' or 'fierce'. Chadwick & Ventris identify it as an anthroponym. Given the -o ending and the cognate, it is likely a thematic noun in -o, used as a personal name."
a-ku-ro,3,0,0,0.95,αργυρος,"The word 'a-ku-ro' corresponds to the Greek word 'αργυρος' (argyros), meaning 'silver'. This is a common noun. The ending '-ro' suggests a thematic noun in -o."
a-ma,3,0,1,0.9,αμα,"The word 'a-ma' has the Greek cognate 'αμα', which can mean 'harvest' or 'together'. Given the lexicon entry 'reap' or 'collect', it is likely a common noun. The ending '-a' suggests it is a thematic noun in -a."
a-ma-ru-ta-o,0,0,0,0.95,αμαρυταο|αμαρυτας,"The word 'a-ma-ru-ta-o' has the cognates 'αμαρυταο' and 'αμαρυτας'. The lexicon entry indicates it's a personal name. The ending '-o' suggests a thematic noun in -o, likely a nominative or vocative singular form. The cognate 'αμαρυτας' is also a personal name, but the Linear B form ends in -o, which is consistent with a thematic -o declension. Therefore, it's classified as an anthroponym (personal name), a noun, and thematic in -o."
a-ma-ti,3,0,2,0.95,αιματι,"The word 'a-ma-ti' has the cognate 'αιματι' (aimati), which means 'to the blood' or 'in blood' and is the dative singular of 'αιμα' (blood). The Linear B word ends in '-ti', which corresponds to the athematic dative singular ending. Therefore, it is a common noun with athematic inflection."
a-me-to,0,0,0,0.9,αμητος,The word 'a-me-to' has the cognate 'αμητος' which can mean 'harvest' or be a personal name. Chadwick & Ventris identify it as an anthroponym. The ending '-to' suggests a thematic noun in -o.
a-mi-ni-si-jo,1,0,0,0.95,αμνισιος,"The word 'a-mi-ni-si-jo' corresponds to the Greek word 'Αμνισιος' (Amnisios), which is the ethnic name of 'Amnisos', a toponym (place name). The Linear B word ends in '-jo', which corresponds to the thematic -o inflection for nouns, specifically the genitive case (-ojo). Therefore, it's a thematic noun in -o."
a-mi-ni-so,1,0,0,1.0,αμνισος,"The word 'a-mi-ni-so' has the Greek cognate 'Αμνισος', which is Amnisos, a toponym (place name). The Linear B word ends in '-o', indicating a thematic noun in -o."
a-mi-ni-so-de,1,0,0,0.95,αμνισονδε|αμνισος,"The word 'a-mi-ni-so-de' has the cognates 'αμνισονδε' and 'αμνισος'. 'αμνισος' is a place name (Amnisos). The suffix '-de' is an allative/demonstrative suffix. Therefore, 'a-mi-ni-so' is a toponym. The ending '-o' suggests a thematic noun in -o."
a-mo,3,0,0,0.95,αρμον|αρμοσι|αρμοτα|αρμοτε,"The word 'a-mo' has Greek cognates related to 'harmos' (joint), 'harmata' (chariot), and 'harmozi' (fitting). The lexicon entries also point to 'wheel' or 'chariot'. The ending '-o' suggests a thematic noun in -o. Therefore, it's a common noun referring to a part of a chariot or wheel."
a-mo-i-je-to,3,2,0,0.9,αρμοιεντοι,"The word 'a-mo-i-je-to' has the cognate 'αρμοιεντοι'. This suggests it is an adjective. The ending '-to' suggests a thematic inflection in -o. Therefore, it is classified as a common adjective with thematic inflection in -o."
a-mo-ra-ma,3,0,1,0.85,αρμαλια|αμορμαια|αμωραμαρ,"The word 'a-mo-ra-ma' has cognates like 'αρμαλια', 'αμορμαια', and 'αμωραμαρ'. The lexicon entries suggest 'rations supplies' or 'from day to day, daily?'. Given these meanings and the -a ending, it is likely a common noun, thematic in -a. The cognates suggest a plural form or a collective noun, which aligns with the thematic -a inflection."
a-mo-si,3,0,2,0.9,αρμοσι,"The word 'a-mo-si' has the cognate 'αρμοσι', which means 'wheel/chariot undercarriage'. The ending '-si' suggests a plural form. Given the cognate and the plural ending, it is likely an athematic noun. The athematic declension can have a plural nominative/accusative ending in -e or -a, but also in -si/-ti. Therefore, it is classified as a common noun (wheel/chariot part) with athematic inflection."
a-mo-ta,3,0,1,0.9,αρμοτα,"The word 'a-mo-ta' has the cognate 'αρμοτα', which refers to 'wheels' or 'undercarriage'. The ending '-a' suggests that it is a thematic noun in -a. Therefore, it is classified as a common noun with thematic inflection in -a."
