book,line start,line end,greek text,english text
1,45,49,"ὦ πάτερ ἡμέτερε Κρονίδη,  ὕπατε κρειόντων,
καὶ λίην κεῖνός γε ἐοικότι κεῖται ὀλέθρῳ:
ὡς ἀπόλοιτο καὶ ἄλλος, ὅτις τοιαῦτά γε ῥέζοι:
ἀλλά μοι ἀμφ᾽ Ὀδυσῆι δαΐφρονι δαίεται ἦτορ,
δυσμόρῳ, ὃς δὴ δηθὰ φίλων ἄπο πήματα πάσχει","“Father of us all, thou son of Cronos, high above all lords, aye, verily that man lies low in a destruction that is his due; so, too, may any other also be destroyed who does such deeds. But my heart is torn for wise Odysseus, hapless man, who far from his friends has long been suffering woes"
1,50,54,"νήσῳ ἐν ἀμφιρύτῃ,  ὅθι τ᾽ ὀμφαλός ἐστι θαλάσσης.
νῆσος δενδρήεσσα, θεὰ δ᾽ ἐν δώματα ναίει,
Ἄτλαντος θυγάτηρ ὀλοόφρονος, ὅς τε θαλάσσης
πάσης βένθεα οἶδεν, ἔχει δέ τε κίονας αὐτὸς
μακράς, αἳ γαῖάν τε καὶ οὐρανὸν ἀμφὶς ἔχουσιν.","in a sea-girt isle, where is the navel of the sea. 'Tis a wooded isle, and therein dwells a goddess, daughter of Atlas of baneful mind, who knows the depths of every sea, and himself holds the tall pillars which keep earth and heaven apart."
1,55,59,"τοῦ θυγάτηρ δύστηνον ὀδυρόμενον κατερύκει,
αἰεὶ δὲ μαλακοῖσι καὶ αἱμυλίοισι λόγοισιν
θέλγει, ὅπως Ἰθάκης ἐπιλήσεται: αὐτὰρ Ὀδυσσεύς,
ἱέμενος καὶ καπνὸν ἀποθρῴσκοντα νοῆσαι
ἧς γαίης, θανέειν ἱμείρεται. οὐδέ νυ σοί περ","His daughter it is that keeps back that wretched, sorrowing man; and ever with soft and wheedling words she beguiles him that he may forget Ithaca. But Odysseus, in his longing to see were it but the smoke leaping up from his own land, yearns to die. Yet thy"
1,60,64,"ἐντρέπεται φίλον ἦτορ,  Ὀλύμπιε. οὔ νύ τ᾽ Ὀδυσσεὺς
Ἀργείων παρὰ νηυσὶ χαρίζετο ἱερὰ ῥέζων
Τροίῃ ἐν εὐρείῃ; τί νύ οἱ τόσον ὠδύσαο, Ζεῦ;
τὴν δ᾽ ἀπαμειβόμενος προσέφη νεφεληγερέτα Ζεύς:
τέκνον ἐμόν, ποῖόν σε ἔπος φύγεν ἕρκος ὀδόντων.","heart doth not regard it, Olympian. Did not Odysseus beside the ships of the Argives offer thee sacrifice without stint in the broad land of Troy? Wherefore then didst thou conceive such wrath against him, O Zeus?”
Then Zeus, the cloud-gatherer, answered her and said: “My child, what a word has escaped the barrier of thy teeth?"
1,65,69,"πῶς ἂν ἔπειτ᾽ Ὀδυσῆος ἐγὼ θείοιο λαθοίμην,
ὃς περὶ μὲν νόον ἐστὶ βροτῶν, περὶ δ᾽ ἱρὰ θεοῖσιν
ἀθανάτοισιν ἔδωκε, τοὶ οὐρανὸν εὐρὺν ἔχουσιν;
ἀλλὰ Ποσειδάων γαιήοχος ἀσκελὲς αἰεὶ
Κύκλωπος κεχόλωται, ὃν ὀφθαλμοῦ ἀλάωσεν,","How should I, then, forget godlike Odysseus, who is beyond all mortals in wisdom, and beyond all has paid sacrifice to the immortal gods, who hold broad heaven? Nay, it is Poseidon, the earth-enfolder, who is ever filled with stubborn wrath because of the Cyclops, whom Odysseus blinded of his eye—"
1,70,74,"ἀντίθεον Πολύφημον,  ὅου κράτος ἐστὶ μέγιστον
πᾶσιν Κυκλώπεσσι: Θόωσα δέ μιν τέκε νύμφη,
Φόρκυνος θυγάτηρ ἁλὸς ἀτρυγέτοιο μέδοντος,
ἐν σπέσσι γλαφυροῖσι Ποσειδάωνι μιγεῖσα.
ἐκ τοῦ δὴ Ὀδυσῆα Ποσειδάων ἐνοσίχθων","even the godlike Polyphemus, whose might is greatest among all the Cyclopes; and the nymph Thoosa bore him, daughter of Phorcys who rules over the unresting sea; for in the hollow caves she lay with Poseidon. From that time forth Poseidon, the earth-shaker,"
1,75,79,"οὔ τι κατακτείνει,  πλάζει δ᾽ ἀπὸ πατρίδος αἴης.
ἀλλ᾽ ἄγεθ᾽, ἡμεῖς οἵδε περιφραζώμεθα πάντες
νόστον, ὅπως ἔλθῃσι: Ποσειδάων δὲ μεθήσει
ὃν χόλον: οὐ μὲν γὰρ τι δυνήσεται ἀντία πάντων
ἀθανάτων ἀέκητι θεῶν ἐριδαινέμεν οἶος.","does not indeed slay Odysseus, but makes him a wanderer from his native land. But come, let us who are here all take thought of his return, that he may come home; and Poseidon will let go his anger, for he will in no wise be able, against all the immortal gods and in their despite, to contend alone.”"
1,80,84,"τὸν δ᾽ ἠμείβετ᾽ ἔπειτα θεά,  γλαυκῶπις Ἀθήνη:
ὦ πάτερ ἡμέτερε Κρονίδη, ὕπατε κρειόντων,
εἰ μὲν δὴ νῦν τοῦτο φίλον μακάρεσσι θεοῖσιν,
νοστῆσαι Ὀδυσῆα πολύφρονα ὅνδε δόμονδε,
Ἑρμείαν μὲν ἔπειτα διάκτορον ἀργεϊφόντην","Then the goddess, flashing-eyed Athena, answered him: “Father of us all, thou son of Cronos, high above all lords, if indeed this is now well pleasing to the blessed gods, that the wise Odysseus should return to his own home, let us send forth Hermes, the messenger, Argeiphontes,"
1,85,89,"νῆσον ἐς Ὠγυγίην ὀτρύνομεν,  ὄφρα τάχιστα
νύμφῃ ἐυπλοκάμῳ εἴπῃ νημερτέα βουλήν,
νόστον Ὀδυσσῆος ταλασίφρονος, ὥς κε νέηται:
αὐτὰρ ἐγὼν Ἰθάκηνδ᾽ ἐσελεύσομαι, ὄφρα οἱ υἱὸν
μᾶλλον ἐποτρύνω καί οἱ μένος ἐν φρεσὶ θείω,","to the isle Ogygia, that with all speed he may declare to the fair-tressed nymph our fixed resolve, even the return of Odysseus of the steadfast heart, that he may come home. But, as for me, I will go to Ithaca, that I may the more arouse his son, and set courage in his heart"
1,90,94,"εἰς ἀγορὴν καλέσαντα κάρη κομόωντας Ἀχαιοὺς
πᾶσι μνηστήρεσσιν ἀπειπέμεν, οἵ τέ οἱ αἰεὶ
μῆλ᾽ ἁδινὰ σφάζουσι καὶ εἰλίποδας ἕλικας βοῦς.
πέμψω δ᾽ ἐς Σπάρτην τε καὶ ἐς Πύλον ἠμαθόεντα
νόστον πευσόμενον πατρὸς φίλου, ἤν που ἀκούσῃ,","to call to an assembly the long-haired Achaeans, and speak out his word to all the wooers, who are ever slaying his thronging sheep and his sleek kine of shambling gait. And I will guide him to Sparta and to sandy Pylos, to seek tidings of the return of his dear father, if haply he may hear of it,"
1,95,99,"ἠδ᾽ ἵνα μιν κλέος ἐσθλὸν ἐν ἀνθρώποισιν ἔχῃσιν.
ὣς εἰποῦσ᾽ ὑπὸ ποσσὶν ἐδήσατο καλὰ πέδιλα,
ἀμβρόσια χρύσεια, τά μιν φέρον ἠμὲν ἐφ᾽ ὑγρὴν
ἠδ᾽ ἐπ᾽ ἀπείρονα γαῖαν ἅμα πνοιῇς ἀνέμοιο:
εἵλετο δ᾽ ἄλκιμον ἔγχος, ἀκαχμένον ὀξέι χαλκῷ,","that good report may be his among men.”
So she spoke, and bound beneath her feet her beautiful sandals, immortal, golden, which were wont to bear her both over the waters of the sea and over the boundless land swift as the blasts of the wind. And she took her mighty spear, tipped with sharp bronze,"
1,100,104,"βριθὺ μέγα στιβαρόν,  τῷ δάμνησι στίχας ἀνδρῶν
ἡρώων, τοῖσίν τε κοτέσσεται ὀβριμοπάτρη.
βῆ δὲ κατ᾽ Οὐλύμποιο καρήνων ἀίξασα,
στῆ δ᾽ Ἰθάκης ἐνὶ δήμῳ ἐπὶ προθύροις Ὀδυσῆος,
οὐδοῦ ἐπ᾽ αὐλείου: παλάμῃ δ᾽ ἔχε χάλκεον ἔγχος,","heavy and huge and strong, wherewith she vanquishes the ranks of men—of warriors, with whom she is wroth, she, the daughter of the mighty sire. Then she went darting down from the heights of Olympus, and took her stand in the land of Ithaca at the outer gate of Odysseus, on the threshold of the court. In her hand she held the spear of bronze,"
1,105,109,"εἰδομένη ξείνῳ,  Ταφίων ἡγήτορι Μέντῃ.
εὗρε δ᾽ ἄρα μνηστῆρας ἀγήνορας. οἱ μὲν ἔπειτα
πεσσοῖσι προπάροιθε θυράων θυμὸν ἔτερπον
ἥμενοι ἐν ῥινοῖσι βοῶν, οὓς ἔκτανον αὐτοί:
κήρυκες δ᾽ αὐτοῖσι καὶ ὀτρηροὶ θεράποντες","and she was in the likeness of a stranger, Mentes, the leader of the Taphians. There she found the proud wooers. They were taking their pleasure at draughts in front of the doors, sitting on the hides of oxen which they themselves had slain; and of the heralds and busy squires,"
1,110,114,"οἱ μὲν οἶνον ἔμισγον ἐνὶ κρητῆρσι καὶ ὕδωρ,
οἱ δ᾽ αὖτε σπόγγοισι πολυτρήτοισι τραπέζας
νίζον καὶ πρότιθεν, τοὶ δὲ κρέα πολλὰ δατεῦντο.
τὴν δὲ πολὺ πρῶτος ἴδε Τηλέμαχος θεοειδής,
ἧστο γὰρ ἐν μνηστῆρσι φίλον τετιημένος ἦτορ,","some were mixing wine and water for them in bowls, others again were washing the tables with porous sponges and setting them forth, while still others were portioning out meats in abundance.
Her the godlike Telemachus was far the first to see, for he was sitting among the wooers, sad at heart,"
1,115,119,"ὀσσόμενος πατέρ᾽ ἐσθλὸν ἐνὶ φρεσίν,  εἴ ποθεν ἐλθὼν
μνηστήρων τῶν μὲν σκέδασιν κατὰ δώματα θείη,
τιμὴν δ᾽ αὐτὸς ἔχοι καὶ δώμασιν οἷσιν ἀνάσσοι.
τὰ φρονέων, μνηστῆρσι μεθήμενος, εἴσιδ᾽ Ἀθήνην.
βῆ δ᾽ ἰθὺς προθύροιο, νεμεσσήθη δ᾽ ἐνὶ θυμῷ","seeing in thought his noble father, should he perchance come from somewhere and make a scattering of the wooers in the palace, and himself win honor and rule over his own house. As he thought of these things, sitting among the wooers, he beheld Athena, and he went straight to the outer door; for in his heart he counted it shame"
1,120,124,"ξεῖνον δηθὰ θύρῃσιν ἐφεστάμεν: ἐγγύθι δὲ στὰς
χεῖρ᾽ ἕλε δεξιτερὴν καὶ ἐδέξατο χάλκεον ἔγχος,
καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα:
χαῖρε, ξεῖνε, παρ᾽ ἄμμι φιλήσεαι: αὐτὰρ ἔπειτα
δείπνου πασσάμενος μυθήσεαι ὅττεό σε χρή.","that a stranger should stand long at the gates. So, drawing near, he clasped her right hand, and took from her the spear of bronze; and he spoke, and addressed her with winged words:
“Hail, stranger; in our house thou shalt find entertainment and then, when thou hast tasted food, thou shalt tell of what thou hast need.”"
1,125,129,"ὣς εἰπὼν ἡγεῖθ᾽,  ἡ δ᾽ ἕσπετο Παλλὰς Ἀθήνη.
οἱ δ᾽ ὅτε δή ῥ᾽ ἔντοσθεν ἔσαν δόμου ὑψηλοῖο,
ἔγχος μέν ῥ᾽ ἔστησε φέρων πρὸς κίονα μακρὴν
δουροδόκης ἔντοσθεν ἐυξόου, ἔνθα περ ἄλλα
ἔγχε᾽ Ὀδυσσῆος ταλασίφρονος ἵστατο πολλά,","So saying, he led the way, and Pallas Athena followed. And when they were within the lofty house, he bore the spear and set it against a tall pillar in a polished spear-rack, where were set many spears besides, even those of Odysseus of the steadfast heart."
1,130,134,"αὐτὴν δ᾽ ἐς θρόνον εἷσεν ἄγων,  ὑπὸ λῖτα πετάσσας,
καλὸν δαιδάλεον: ὑπὸ δὲ θρῆνυς ποσὶν ἦεν.
πὰρ δ᾽ αὐτὸς κλισμὸν θέτο ποικίλον, ἔκτοθεν ἄλλων
μνηστήρων, μὴ ξεῖνος ἀνιηθεὶς ὀρυμαγδῷ
δείπνῳ ἁδήσειεν, ὑπερφιάλοισι μετελθών,","Athena herself he led and seated on a chair, spreading a linen cloth beneath—a beautiful chair, richly-wrought, and below was a footstool for the feet. Beside it he placed for himself an inlaid seat, apart from the others, the wooers, lest the stranger, vexed by their din, should loathe the meal, seeing that he was in the company of overweening men;"
1,135,139,"ἠδ᾽ ἵνα μιν περὶ πατρὸς ἀποιχομένοιο ἔροιτο.
χέρνιβα δ᾽ ἀμφίπολος προχόῳ ἐπέχευε φέρουσα
καλῇ χρυσείῃ, ὑπὲρ ἀργυρέοιο λέβητος,
νίψασθαι: παρὰ δὲ ξεστὴν ἐτάνυσσε τράπεζαν.
σῖτον δ᾽ αἰδοίη ταμίη παρέθηκε φέρουσα,","and also that he might ask him about his father that was gone. Then a handmaid brought water for the hands in a fair pitcher of gold, and poured it over a silver basin for them to wash, and beside them drew up a polished table. And the grave housewife brought and set before them bread,"
1,140,144,"εἴδατα πόλλ᾽ ἐπιθεῖσα,  χαριζομένη παρεόντων:
δαιτρὸς δὲ κρειῶν πίνακας παρέθηκεν ἀείρας
παντοίων, παρὰ δέ σφι τίθει χρύσεια κύπελλα:
κῆρυξ δ᾽ αὐτοῖσιν θάμ᾽ ἐπῴχετο οἰνοχοεύων.
ἐς δ᾽ ἦλθον μνηστῆρες ἀγήνορες. οἱ μὲν ἔπειτα","and therewith dainties in abundance, giving freely of her store. And a carver lifted up and placed before them platters of all manner of meats, and set by them golden goblets, while a herald ever walked to and fro pouring them wine.
Then in came the proud wooers, and thereafter"
1,145,149,"ἑξείης ἕζοντο κατὰ κλισμούς τε θρόνους τε,
τοῖσι δὲ κήρυκες μὲν ὕδωρ ἐπὶ χεῖρας ἔχευαν,
σῖτον δὲ δμῳαὶ παρενήνεον ἐν κανέοισιν,
κοῦροι δὲ κρητῆρας ἐπεστέψαντο ποτοῖο.
οἱ δ᾽ ἐπ᾽ ὀνείαθ᾽ ἑτοῖμα προκείμενα χεῖρας ἴαλλον.","sat them down in rows on chairs and high seats. Heralds poured water over their hands, and maid-servants heaped by them bread in baskets, and youths filled the bowls brim full of drink; and they put forth their hands to the good cheer lying ready before them."
1,150,154,"αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο
μνηστῆρες, τοῖσιν μὲν ἐνὶ φρεσὶν ἄλλα μεμήλει,
μολπή τ᾽ ὀρχηστύς τε: τὰ γὰρ τ᾽ ἀναθήματα δαιτός:
κῆρυξ δ᾽ ἐν χερσὶν κίθαριν περικαλλέα θῆκεν
Φημίῳ, ὅς ῥ᾽ ἤειδε παρὰ μνηστῆρσιν ἀνάγκῃ.","Now after the wooers had put from them the desire of food and drink, their hearts turned to other things, to song and to dance; for these things are the crown of a feast. And a herald put the beautiful lyre in the hands of Phemius, who sang perforce among the wooers;"
1,155,159,"ἦ τοι ὁ φορμίζων ἀνεβάλλετο καλὸν ἀείδειν.
αὐτὰρ Τηλέμαχος προσέφη γλαυκῶπιν Ἀθήνην,
ἄγχι σχὼν κεφαλήν, ἵνα μὴ πευθοίαθ᾽ οἱ ἄλλοι:
ξεῖνε φίλ᾽, ἦ καὶ μοι νεμεσήσεαι ὅττι κεν εἴπω;
τούτοισιν μὲν ταῦτα μέλει, κίθαρις καὶ ἀοιδή,","and he struck the chords in prelude to his sweet lay.
But Telemachus spoke to flashing-eyed Athena, holding his head close, that the others might not hear: “Dear stranger, wilt thou be wroth with me for the word that I shall say? These men care for things like these, the lyre and song,"
1,160,164,"ῥεῖ᾽,  ἐπεὶ ἀλλότριον βίοτον νήποινον ἔδουσιν,
ἀνέρος, οὗ δή που λεύκ᾽ ὀστέα πύθεται ὄμβρῳ
κείμεν᾽ ἐπ᾽ ἠπείρου, ἢ εἰν ἁλὶ κῦμα κυλίνδει.
εἰ κεῖνόν γ᾽ Ἰθάκηνδε ἰδοίατο νοστήσαντα,
πάντες κ᾽ ἀρησαίατ᾽ ἐλαφρότεροι πόδας εἶναι","full easily, seeing that without atonement they devour the livelihood of another, of a man whose white bones, it may be, rot in the rain as they lie upon the mainland, or the wave rolls them in the sea. Were they to see him returned to Ithaca, they would all pray to be swifter of foot,"
1,165,169,"ἢ ἀφνειότεροι χρυσοῖό τε ἐσθῆτός τε.
νῦν δ᾽ ὁ μὲν ὣς ἀπόλωλε κακὸν μόρον, οὐδέ τις ἡμῖν
θαλπωρή, εἴ πέρ τις ἐπιχθονίων ἀνθρώπων
φῇσιν ἐλεύσεσθαι: τοῦ δ᾽ ὤλετο νόστιμον ἦμαρ.
ἀλλ᾽ ἄγε μοι τόδε εἰπὲ καὶ ἀτρεκέως κατάλεξον:","rather than richer in gold and in raiment. But now he has thus perished by an evil doom, nor for us is there any comfort, no, not though any one of men upon the earth should say that he will come; gone is the day of his returning. But come, tell me this, and declare it truly."
1,170,174,"τίς  πόθεν εἰς ἀνδρῶν; πόθι τοι πόλις ἠδὲ τοκῆες;
ὁπποίης τ᾽ ἐπὶ νηὸς ἀφίκεο: πῶς δέ σε ναῦται
ἤγαγον εἰς Ἰθάκην; τίνες ἔμμεναι εὐχετόωντο;
οὐ μὲν γὰρ τί σε πεζὸν ὀίομαι ἐνθάδ᾽ ἱκέσθαι.
καί μοι τοῦτ᾽ ἀγόρευσον ἐτήτυμον, ὄφρ᾽ ἐὺ εἰδῶ,","Who art thou among men, and from whence? Where is thy city and where thy parents? On what manner of ship didst thou come, and how did sailors bring thee to Ithaca? Who did they declare themselves to be? For nowise, methinks, didst thou come hither on foot. And tell me this also truly, that I may know full well,"
1,175,177,"ἠὲ νέον μεθέπεις ἦ καὶ πατρώιός ἐσσι
ξεῖνος, ἐπεὶ πολλοὶ ἴσαν ἀνέρες ἡμέτερον δῶ
ἄλλοι, ἐπεὶ καὶ κεῖνος ἐπίστροφος ἦν ἀνθρώπων.","whether this is thy first coming hither, or whether thou art indeed a friend of my father's house. For many were the men who came to our house as strangers, since he, too, had gone to and fro among men.”"
1,178,179,"τὸν δ᾽ αὖτε προσέειπε θεά, γλαυκῶπις Ἀθήνη:
τοιγὰρ ἐγώ τοι ταῦτα μάλ᾽ ἀτρεκέως ἀγορεύσω.","
Then the goddess, flashing-eyed Athena, answered him: “Therefore of a truth will I frankly tell thee all."
1,180,184,"Μέντης Ἀγχιάλοιο δαΐφρονος εὔχομαι εἶναι
υἱός, ἀτὰρ Ταφίοισι φιληρέτμοισιν ἀνάσσω.
νῦν δ᾽ ὧδε ξὺν νηὶ κατήλυθον ἠδ᾽ ἑτάροισιν
πλέων ἐπὶ οἴνοπα πόντον ἐπ᾽ ἀλλοθρόους ἀνθρώπους,
ἐς Τεμέσην μετὰ χαλκόν, ἄγω δ᾽ αἴθωνα σίδηρον.","I declare that I am Mentes, the son of wise Anchialus, and I am lord over the oar-loving Taphians. And now have I put in here, as thou seest, with ship and crew, while sailing over the wine-dark sea to men of strange speech, on my way to Temese for copper; and I bear with me shining iron."
1,185,189,"νηῦς δέ μοι ἥδ᾽ ἕστηκεν ἐπ᾽ ἀγροῦ νόσφι πόληος,
ἐν λιμένι Ῥείθρῳ ὑπὸ Νηίῳ ὑλήεντι.
ξεῖνοι δ᾽ ἀλλήλων πατρώιοι εὐχόμεθ᾽ εἶναι
ἐξ ἀρχῆς, εἴ πέρ τε γέροντ᾽ εἴρηαι ἐπελθὼν
Λαέρτην ἥρωα, τὸν οὐκέτι φασὶ πόλινδε","My ship lies yonder beside the fields away from the city, in the harbor of Rheithron, under woody Neion. Friends of one another do we declare ourselves to be, even as our fathers were, friends from of old. Nay, if thou wilt, go and ask the old warrior Laertes, who, they say,"
1,190,194,"ἔρχεσθ᾽,  ἀλλ᾽ ἀπάνευθεν ἐπ᾽ ἀγροῦ πήματα πάσχειν
γρηὶ σὺν ἀμφιπόλῳ, ἥ οἱ βρῶσίν τε πόσιν τε
παρτιθεῖ, εὖτ᾽ ἄν μιν κάματος κατὰ γυῖα λάβῃσιν
ἑρπύζοντ᾽ ἀνὰ γουνὸν ἀλωῆς οἰνοπέδοιο.
νῦν δ᾽ ἦλθον: δὴ γάρ μιν ἔφαντ᾽ ἐπιδήμιον εἶναι,","comes no more to the city, but afar in the fields suffers woes attended by an aged woman as his handmaid, who sets before him food and drink, after weariness has laid hold of his limbs, as he creeps along the slope of his vineyard plot. And now am I come, for of a truth men said that he,"
1,195,199,"σὸν πατέρ᾽: ἀλλά νυ τόν γε θεοὶ βλάπτουσι κελεύθου.
οὐ γάρ πω τέθνηκεν ἐπὶ χθονὶ δῖος Ὀδυσσεύς,
ἀλλ᾽ ἔτι που ζωὸς κατερύκεται εὐρέι πόντῳ
νήσῳ ἐν ἀμφιρύτῃ, χαλεποὶ δέ μιν ἄνδρες ἔχουσιν
ἄγριοι, οἵ που κεῖνον ἐρυκανόωσ᾽ ἀέκοντα.","thy father, was among his people; but lo, the gods are thwarting him of his return. For not yet has goodly Odysseus perished on the earth, but still, I ween, he lives and is held back on the broad sea in a sea-girt isle, and cruel men keep him, a savage folk, that constrain him, haply sore against his will."
1,200,204,"αὐτὰρ νῦν τοι ἐγὼ μαντεύσομαι,  ὡς ἐνὶ θυμῷ
ἀθάνατοι βάλλουσι καὶ ὡς τελέεσθαι ὀίω,
οὔτε τι μάντις ἐὼν οὔτ᾽ οἰωνῶν σάφα εἰδώς.
οὔ τοι ἔτι δηρόν γε φίλης ἀπὸ πατρίδος αἴης
ἔσσεται, οὐδ᾽ εἴ πέρ τε σιδήρεα δέσματ᾽ ἔχῃσιν:","Nay, I will now prophesy to thee, as the immortals put it in my heart, and as I think it shall be brought to pass, though I am in no wise a soothsayer, nor one versed in the signs of birds. Not much longer shall he be absent from his dear native land, no, not though bonds of iron hold him."
