linear_b,word_type,part_of_speech,inflection,confidence,reasoning
a-di-ri-ja-te,5,2,1,0.9,"The word 'a-di-ri-ja-te' has the cognate 'ανδριαντει'. The Linear B word ends in '-te', which is an ablative suffix and should be ignored. The remaining part 'a-di-ri-ja' corresponds to the Greek word 'ανδριας' (statue, image of a man). The cognate 'ανδριαντει' is the dative plural of 'ανδριας', meaning 'for/to statues'. Therefore, 'a-di-ri-ja' is likely an adjective in the dative plural form, describing something related to statues or images of men. Since it's an adjective, it's classified as part_of_speech 2. The ending '-a' suggests a thematic inflection in -a."
a-di-ri-jo,0,0,2,0.9,"The word 'a-di-ri-jo' has Greek cognates 'ανδριος' and 'ανηρ'. 'ανηρ' means 'man', and 'ανδριος' is an adjective derived from it, meaning 'manly' or 'belonging to a man'. The Linear B word likely represents a personal name or a name derived from the concept of 'man'. The ending '-jo' doesn't directly correspond to a thematic -o declension. However, considering the cognate 'ανηρ', which is an athematic noun, and the possibility of the Linear B word being a derivative or a related form, it's more likely to be an athematic noun. The -jo ending could be a modified genitive or another case form. Therefore, I classify it as an anthroponym (0), a noun (0), and athematic (2)."
a-du,5,0,2,0.9,"The word 'a-du' has the cognate 'αδυ'. The word 'αδυ' means 'sweet' or 'pleasant'. It is an athematic noun, as it does not follow the thematic -o or -a declensions. The ending -u is characteristic of athematic nouns. Therefore, 'a-du' is classified as a common noun with athematic inflection."
a-e-ri-qo-ta,0,0,1,0.95,"The word 'a-e-ri-qo-ta' has the Greek cognate 'αελιποτας'. The lexicon entries suggest it's an anthroponym. The ending '-ta' corresponds to the thematic declension in -a, which is common for personal names. Therefore, it's classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -a (inflection = 1)."
a-e-ti-to,5,2,0,0.85,"The word 'a-e-ti-to' has cognates 'αεθιστος' and 'εθιζω'. 'εθιζω' means 'to accustom'. 'αεθιστος' means 'unaccustomed, unpracticed'. The Linear B word likely represents an adjective meaning 'unaccustomed'. The ending '-to' suggests a thematic adjective in -o."
a-i-ke-u,0,0,2,0.9,"The word 'a-i-ke-u' has the Greek cognate 'αιγευς', which means 'Aigeus'. This indicates that 'a-i-ke-u' is an anthroponym (person name). The ending '-u' suggests an athematic inflection, similar to other anthroponyms like 'ka-ke-u' (χαλκευς) and 'a-ke-re-u' (αγρευς)."
a-i-ki-pa-ta,0,0,2,0.9,"The word 'a-i-ki-pa-ta' has the cognate 'αιγιπατας', which means 'Aegipatas'. The lexicon entry also indicates it's a personal name. The ending '-ta' suggests an athematic inflection, as thematic nouns typically end in -o or -a. Therefore, it is classified as an anthroponym (personal name), a noun, and athematic."
a-i-qe-u,0,0,2,0.9,"The word 'a-i-qe-u' has the Greek cognate 'αιγευς', which means 'Aegeus'. According to Chadwick & Ventris, it is an anthroponym. The ending '-u' suggests an athematic inflection, similar to other anthroponyms like 'ka-ke-u' (χαλκευς) and 'a-ke-re-u' (αγρευς)."
a-i-qe-we,0,0,2,0.9,"The word 'a-i-qe-we' has the cognate 'αιγευς' (aigeus), which is a personal name. The lexicon also indicates it's a personal name. The ending '-we' corresponds to the athematic inflection, as the cognate ends in -ευς. Therefore, it's an anthroponym (personal name), a noun, and athematic."
a-i-qe-wo,0,0,2,0.9,"The word 'a-i-qe-wo' has the cognate 'αιγευς' (aigeus), which is a personal name. The lexicon also indicates it's a personal name. The ending '-wo' corresponds to the genitive form of athematic nouns (ending in -ος in ancient greek, which corresponds to -o in Linear B). Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
a-ja-me-na,5,2,1,0.95,"The word 'a-ja-me-na' has cognates 'αιασμενα' and 'αιασμενος'. These are perfect passive participles meaning 'having been allotted'. Since it's a participle, it's classified as an adjective. The ending '-na' corresponds to the -μενα ending of the neuter nominative/accusative plural or feminine singular nominative of perfect passive participles, indicating a thematic inflection in -a."
a-ja-me-no,5,2,0,0.95,"The word 'a-ja-me-no' has the cognate 'αιασμενος', which is a perfect passive participle meaning 'inlaid' or 'decorated'. Participles are classified as adjectives. The ending '-me-no' is characteristic of perfect passive participles, and the '-o' ending suggests a thematic inflection."
a-ka-i-jo,4,0,0,0.95,"The word 'a-ka-i-jo' has the Greek cognates 'αχαιοι' and 'αχαιος', which refer to the Achaeans, an ethnic group. Therefore, the word type is ethnonym. The ending '-jo' suggests a thematic noun in -o, and the cognates confirm this. Thus, it's a noun with thematic inflection in -o."
a-ka-ma-no,0,0,2,0.95,"The word 'a-ka-ma-no' has the Greek cognate 'αλκμανωρ' (Alkmanor), which is a personal name (anthroponym). The Linear B word likely represents a similar anthroponym. The ending '-no' does not fit the thematic -o or -a declensions. The cognate's ending '-ωρ' suggests an athematic declension, so the Linear B word is classified as athematic."
a-ka-ra-no,5,2,0,0.9,"The word 'a-ka-ra-no' has the cognate 'ακαρανος', which means 'without a top' or 'headless'. This suggests it is an adjective describing something lacking a head or top. The ending '-no' corresponds to the thematic -o ending, indicating a thematic adjective."
a-ka-si-jo-ne,3,0,2,0.9,"The word 'a-ka-si-jo-ne' has cognates 'ακασιον' and 'ακασιονει', and is identified as a place name (toponym) in the lexicon. The ending '-ne' doesn't directly correspond to any thematic inflection. However, considering the cognates and the lexicon entry, it's likely an athematic noun. The ending -ne could be a variation of the athematic dative/locative ending -e/-i, or a different case ending altogether. Given the uncertainty, but the strong evidence for a place name, I classify it as athematic."
a-ka-ta-jo,0,0,0,0.95,"The word 'a-ka-ta-jo' has the Greek cognate 'ακταιος', which is a personal name. The Linear B word ends in '-jo', which corresponds to the genitive singular ending '-ojo' of thematic nouns in -o. Therefore, it is classified as an anthroponym (personal name), a noun, and thematic in -o."
a-ka-to,0,0,0,0.9,"The word 'a-ka-to' has the Greek cognate 'αγαθος' (agathos), meaning 'good'. The lexicon entry suggests it's an anthroponym, and the -o ending aligns with thematic nouns in -o. Therefore, it's classified as an anthroponym (person name), a noun, and thematic in -o."
a-ka-wi-ja-de,3,0,1,0.95,"The word 'a-ka-wi-ja-de' has cognates 'αχαιfια', 'αχαιfιανδε', and 'αχαια', all related to Achaea, a region in ancient Greece. The suffix '-de' is an allative/demonstrative suffix. Therefore, the word is a toponym (place name). The word without the suffix is 'a-ka-wi-ja', which corresponds to 'αχαιfια' or 'αχαια'. The ending '-a' suggests a thematic noun in -a."
a-ka-wo,4,0,0,0.95,"The word 'a-ka-wo' has Greek cognates 'αχαιfος/αχαιος', which refer to 'Achaeans' or 'Greeks'. The lexicon entries also suggest it's a personal/ethnic name. Therefore, it's classified as an ethnonym (4). The ending '-o' suggests it's a thematic noun in -o (inflection 0). It is a noun (part_of_speech 0)."
a-ke,5,1,-1,0.9,"The Linear B word 'a-ke' has Greek cognates 'αγεεν', 'αγει', 'αγω', which are related to the verb 'to lead' or 'to send'. The Linear B word likely represents a verb form. Since it is a verb, the inflection is -1."
a-ke-e,5,1,-1,0.9,"The word 'a-ke-e' has the cognate 'αγειν' (agein), which means 'to send'. The Linear B word likely represents a verb form. The ending '-e' is consistent with the infinitive form of verbs in Mycenaean Greek. Therefore, it is classified as a common word, a verb, and inflection is not applicable."
a-ke-i,0,0,2,0.85,"The word 'a-ke-i' has the cognate 'αιγει'. This suggests it is a personal name (anthroponym). The ending '-i' suggests an athematic inflection, possibly a dative singular form. Therefore, it's classified as an anthroponym (word_type=0), a noun (part_of_speech=0), and athematic (inflection=2)."
a-ke-jo,4,0,0,0.95,"The word 'a-ke-jo' has the cognate 'αργειος', which means 'Argive' or 'of Argos'. This indicates that 'a-ke-jo' is an ethnonym (ethnic group name) referring to someone from Argos. The ending '-o' suggests it is a thematic noun in -o."
a-ke-jo-jo,3,0,0,0.95,"The word 'a-ke-jo-jo' has the Greek cognates 'αργειοιο' and 'αργειος'. 'Αργειος' refers to Argos or Argive, so 'a-ke-jo-jo' is a toponym (place name). The ending '-ojo' corresponds to the genitive singular of thematic nouns in -o, so the inflection is 0."
a-ke-o-jo,4,0,0,0.95,"The word 'a-ke-o-jo' has the cognate 'αργειοιο', which is the genitive form of 'Argos', an ethnonym (ethnic name of 'Argos'). The ending '-ojo' corresponds to the thematic genitive singular in -o, so it is a thematic noun in -o."
a-ke-ra-wo,0,0,0,0.9,"The word 'a-ke-ra-wo' has cognates 'αρχελαfος' and 'αρχελαfων', suggesting it is a personal name (anthroponym). The ending '-wo' suggests a thematic noun in -o. The lexicon entries also support this classification as a personal name."
a-ke-re,5,1,-1,0.95,"The word 'a-ke-re' has cognates 'αγειρειν|αγειρω|αγειρει' which are verbs meaning 'to gather/collect'. The lexicon entries also support this interpretation. The ending '-e' is consistent with a 3rd person singular verb form. Therefore, it is classified as a common word (5), a verb (1), and inflection is not applicable (-1) for verbs."
a-ke-re-u,0,0,2,0.8,"The word 'a-ke-re-u' has the Greek cognate 'αγρευς' (agreus), meaning 'hunter'. The lexicon also suggests it could be an anthroponym or occupation. Given the meaning 'hunter', it's likely an anthroponym. The ending '-u' suggests an athematic inflection."
a-ke-re-u-te,3,0,2,0.85,"The word 'a-ke-re-u-te' has the Greek cognate 'αγρευθεν'. The suffix '-te' is an ablative suffix, so we should consider 'a-ke-re-u' which has the cognate 'αγρευς'. The lexicon entries suggest it's a toponym. The ending '-u' suggests an athematic inflection. Therefore, it's a toponym (place name), a noun, and athematic."
a-ke-re-wa,3,0,1,0.85,"The word 'a-ke-re-wa' has cognates 'αγρεfα' and 'αγρεfανδε'. The lexicon entries suggest it's a place name, possibly related to 'Agreus'. The ending '-wa' corresponds to the thematic -a declension, making it a toponym (place name) and a thematic noun in -a."
a-ke-re-wa-de,3,0,1,0.9,"The word 'a-ke-re-wa-de' has the cognate 'αγρεfανδε'. Removing the suffix '-de', we are left with 'a-ke-re-wa', which corresponds to a place name. The ending '-a' suggests that it is a thematic noun in -a."
a-ke-re-we,3,0,1,0.85,"The word 'a-ke-re-we' has the cognate 'αγρεfα'. The lexicon suggests it's a place name (toponym). The ending '-we' corresponds to the thematic inflection in -a, as the suffix -a is the most similar to -we. Therefore, it's classified as a toponym (3), noun (0), and thematic in -a (1)."
a-ke-re-wi-jo,4,0,0,0.9,"The word 'a-ke-re-wi-jo' has the Greek cognate 'αγρεfιος'. The lexicon entry 'ethnic name of Agrefa' suggests it is an ethnonym. The ending '-jo' suggests a thematic noun in -o, likely an adjective used as a noun referring to someone from Agrefa."
a-ke-ro,0,0,0,0.85,"The word 'a-ke-ro' has cognates 'αγγελος' (angelos) and 'αχερων' (acheron). 'αγγελος' means 'messenger', which can be a personal name or a common noun. 'αχερων' is a river name, which can also be a personal name. The lexicon entries also suggest 'messenger' or 'personal name'. Given the -o ending, it is likely a thematic noun in -o. Therefore, it is classified as an anthroponym (personal name), part of speech is noun, and inflection is thematic in -o."
a-ke-te,5,0,2,0.85,"The word 'a-ke-te' has the cognate 'ακτη' (akte). Akte means 'shore, headland'. The Linear B word ends in '-te'. The cognate is an athematic noun, and the Linear B word likely represents a form of this noun. Therefore, it is classified as a common noun with athematic inflection."
a-ke-te-re,5,0,2,0.9,"The word 'a-ke-te-re' has cognates 'αγετερες' and 'ασκετερες'. The lexicon suggests 'finishers' or 'those who practice their craft'. The ending '-e' suggests a plural form. Given the cognates and lexicon, it is likely a common noun. The ending '-e' in the plural suggests an athematic inflection, as thematic nouns would end in -oi or -a in the plural."
a-ke-ti-ri-ja,5,0,1,0.95,"The word 'a-ke-ti-ri-ja' has Greek cognates 'ασκετρια', 'ασκητριαων', and 'ασκητριαι'. These cognates suggest a feminine noun, likely an occupational agent noun. The ending '-ja' corresponds to the thematic -a declension. Therefore, it's a common noun with thematic inflection in -a."
a-ke-ti-ri-ja-i,5,0,1,0.95,"The word 'a-ke-ti-ri-ja-i' has the Greek cognates 'ασκητριαων' and 'ασκητριαι', which refer to female decorators or workers. The Linear B word likely represents a plural form of a noun referring to female workers. The ending '-ja-i' corresponds to the thematic -ai ending in the declension table, indicating a thematic noun in -a (plural dative). Therefore, it is classified as a common noun, thematic in -a."
a-ke-ti-rya,5,0,1,0.9,"The word 'a-ke-ti-rya' has Greek cognates 'ασκητριαων' and 'ασκητριαι', which refer to female decorators or practitioners. The Linear B word likely represents a similar concept. The ending '-rya' suggests a thematic noun in -a, aligning with the Greek cognates' feminine forms. Therefore, it's classified as a common noun with thematic inflection in -a."
a-ke-ti-rya-o,5,0,1,0.95,"The word 'a-ke-ti-rya-o' has Greek cognates 'ασκητριαι' and 'ασκητριαων', which are feminine nouns meaning 'female decorators'. The Linear B word likely represents a similar concept. The ending '-rya-o' suggests a thematic noun in -a, specifically a genitive plural form, as indicated by the '-ao' suffix in the declension table. Therefore, it is classified as a common noun, thematic in -a."
a-ke-to-ro,1,0,0,0.95,"The word 'a-ke-to-ro' has the Greek cognate 'αλεκτωρ' (alektor), which means 'rooster'. Therefore, 'a-ke-to-ro' is classified as an animal name. The ending '-ro' suggests a thematic noun in -o."
a-ke-u,0,0,2,0.9,"The word 'a-ke-u' has the Greek cognate 'αλκευς' (alkeus), which means 'powerful one' or is a personal name. The lexicon entries also suggest it is either 'powerful' or a 'personal name'. The ending '-u' suggests an athematic inflection. Therefore, it is classified as an anthroponym (personal name), a noun, and athematic."
a-ke-wo,0,0,2,0.9,"The word 'a-ke-wo' has the Greek cognate 'αλκευς' (alkeus). According to the lexicon, it is a personal name. The ending '-wo' corresponds to the athematic declension, as the cognate ends in -ευς. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic inflection (inflection = 2)."
a-ki-ha-ri-ja-de,3,0,1,0.95,"The word 'a-ki-ha-ri-ja-de' has cognates 'αιγιhαλια' and 'αιγιhαλιανδε', which refer to Aigialia, a region in ancient Greece. The '-de' suffix is allative/demonstrative. Therefore, the word is a toponym (place name). The cognate 'αιγιhαλια' ends in -a, suggesting a thematic noun in -a inflection."
a-ki-re-u,0,0,2,0.95,"The word 'a-ki-re-u' has the cognate 'αχιλευς' (Achilles), which is a personal name (anthroponym). The Linear B word ends in '-u', which is consistent with athematic nouns. Therefore, it is classified as an anthroponym, a noun, and athematic."
a-ki-re-we,0,0,2,0.95,"The word 'a-ki-re-we' has Greek cognates 'αχιλλfεης' and 'αχιλευς', both forms of 'Achilles'. The lexicon entry confirms it is a personal name. The ending '-we' corresponds to the athematic declension, as the cognates suggest a name like Achilles, which is athematic. The -e ending can be a dative or vocative form, which are athematic."
a-ki-ri-ja,5,2,1,0.95,"The word 'a-ki-ri-ja' has the Greek cognate 'αγρια' (agria), which means 'wild' or 'savage'. This suggests that 'a-ki-ri-ja' is an adjective. The ending '-ja' corresponds to the thematic -a inflection, typical of adjectives (and nouns) in the first declension. Therefore, it is classified as an adjective with thematic inflection in -a."
a-ki-ti-to,5,2,2,0.9,"The word 'a-ki-ti-to' has the Greek cognate 'ακτιστος', which means 'uncreated' or 'not built'. This suggests that 'a-ki-ti-to' is an adjective. The ending '-to' does not clearly indicate a thematic or athematic inflection. However, given the lexicon entries and the meaning of the cognate, it is more likely to be an athematic adjective. The provided declension table shows that athematic adjectives can have variable nominative endings. Therefore, I classify it as an athematic adjective."
a-ki-to-jo,0,0,0,0.9,"The word 'a-ki-to-jo' has the cognate 'αλχιτος'. The Linear B word ends in '-jo', which corresponds to the genitive singular ending '-ojo' for thematic nouns in -o. Therefore, it is likely an anthroponym (person name) in the genitive case, and a thematic noun in -o."
a-ko,3,0,0,0.9,"The word 'a-ko' has cognates 'αγος' and 'αγκος', which refer to a holy place/grove or valley. The lexicon entry also supports this interpretation. Therefore, 'a-ko' is classified as a toponym (place name). The word ends in '-o', indicating a thematic noun in -o."
a-ko-ra,5,0,1,0.95,"The word 'a-ko-ra' has the Greek cognate 'αγορα' (agora), meaning 'public assembly' or 'market place'. This indicates that 'a-ko-ra' is a common noun. The ending '-a' suggests that it is a thematic noun in -a."
a-ko-ra-ja,5,2,1,0.9,"The word 'a-ko-ra-ja' has cognates 'αγοραια' and 'αγοραιος', which are adjectives meaning 'related to the agora' or 'of the marketplace'. The ending '-ja' corresponds to the feminine form of the adjective, indicating a thematic inflection in -a. Therefore, it is classified as a common adjective with thematic inflection in -a."
a-ko-ra-jo,5,2,0,0.95,"The word 'a-ko-ra-jo' has the cognate 'αγοραιος', which is an adjective meaning 'belonging to the agora' or 'used for communal purposes'. The ending '-o' suggests that it is a thematic adjective in -o."
a-ko-ro,5,0,0,0.9,"The word 'a-ko-ro' has the Greek cognate 'αγρος' (agros), meaning 'field' or 'territory'. This suggests that 'a-ko-ro' is a common noun. The ending '-o' indicates that it is a thematic noun in -o."
a-ko-ro-da-mo,0,0,0,0.95,"The word 'a-ko-ro-da-mo' has the Greek cognate 'ακροδημος', which is an anthroponym (person name). The Linear B word ends in '-o', suggesting a thematic noun in -o. The lexicon entries also confirm it as an anthroponym. Therefore, it is classified as an anthroponym (word_type = 0), noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
a-ko-ro-we,5,0,0,0.9,"The word 'a-ko-ro-we' has the Greek cognate 'αγρος' (agros), meaning 'field'. The Linear B word likely refers to a field or something related to fields. The ending '-we' could be interpreted as a dual form, and the word is likely a common noun. The ending suggests a thematic inflection in -o, considering the dual form. The lexicon also supports this interpretation."
a-ko-so-ne,5,0,2,0.95,"The word 'a-ko-so-ne' has the cognate 'αξονες' (axles). The lexicon confirms that it means 'axles'. The ending '-ne' corresponds to the plural nominative/accusative of athematic nouns. Therefore, it is a common noun with athematic inflection."
a-ko-so-ta,0,0,1,0.9,"The word 'a-ko-so-ta' has Greek cognates 'ακσοτας' and 'αξοτας', which are likely anthroponyms (personal names). The Linear B word ends in '-ta', corresponding to the thematic -a declension, which is common for personal names. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and with thematic inflection in -a (inflection = 1)."
a-ko-so-ta-o,0,0,0,0.9,"The word 'a-ko-so-ta-o' has the cognate 'αξοταο', and the lexicon indicates it's a personal name. The ending '-o' suggests it's a thematic noun in -o."
a-ko-te-u,0,0,2,0.95,"The word 'a-ko-te-u' has the cognate 'αργοθευς', which is a personal name. The lexicon also confirms it as an anthroponym. The ending '-u' suggests an athematic inflection, similar to 'agreus' and 'khalkeus' in the examples. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
a-ko-to,0,0,0,0.95,"The word 'a-ko-to' has cognates 'ακτωρ' and 'αχθων'. The lexicon entries also suggest it's a personal name (anthroponym). The ending '-to' suggests a thematic noun in -o. The cognate 'ακτωρ' is an athematic noun, but 'αχθων' is thematic. Given the Linear B word ends in '-to', and the lexicon entries support a personal name, I classify it as an anthroponym, a noun, and thematic in -o."
a-ko-to-no,5,2,0,0.9,"The word 'a-ko-to-no' has the cognate 'ακτοινος', which means 'not possessing a plot'. This suggests that 'a-ko-to-no' is an adjective. The ending '-o' indicates that it is a thematic adjective in -o."
a-ko-wo,5,2,0,0.9,"The word 'a-ko-wo' has the cognate 'ακορfος', which means 'childless, unaccompanied'. This suggests that 'a-ko-wo' is an adjective. The ending '-wo' corresponds to the thematic -o ending, indicating a thematic adjective."
a-ku-ri-jo,0,0,0,0.9,"The word 'a-ku-ri-jo' has the Greek cognate 'αγριος' (agrios), meaning 'wild' or 'savage'. Chadwick & Ventris identify it as an anthroponym. Given the -o ending and the cognate, it is likely a thematic noun in -o, used as a personal name."
a-ku-ro,5,0,0,0.95,"The word 'a-ku-ro' corresponds to the Greek word 'αργυρος' (argyros), meaning 'silver'. This is a common noun. The ending '-ro' suggests a thematic noun in -o."
a-ma,5,0,1,0.9,"The word 'a-ma' has the Greek cognate 'αμα', which can mean 'harvest' or 'together'. Given the lexicon entry 'reap' or 'collect', it is likely a common noun. The ending '-a' suggests it is a thematic noun in -a."
a-ma-ru-ta-o,0,0,0,0.95,"The word 'a-ma-ru-ta-o' has the cognates 'αμαρυταο' and 'αμαρυτας'. The lexicon entry indicates it's a personal name. The ending '-o' suggests a thematic noun in -o, likely a nominative or vocative singular form. The cognate 'αμαρυτας' is also a personal name, but the Linear B form ends in -o, which is consistent with a thematic -o declension. Therefore, it's classified as an anthroponym (personal name), a noun, and thematic in -o."
a-ma-ti,5,0,2,0.95,"The word 'a-ma-ti' has the cognate 'αιματι' (aimati), which means 'to the blood' or 'in the blood' and is the dative singular form of 'αιμα' (blood). The Linear B word ends in '-ti', which corresponds to the athematic dative singular ending. Therefore, it is a common noun, and its inflection is athematic."
a-me-to,0,0,0,0.9,The word 'a-me-to' has the cognate 'αμητος' which can be a personal name. The lexicon also indicates it is an anthroponym. The ending '-to' suggests a thematic noun in -o.
a-mi-ni-si-jo,3,0,0,0.95,"The word 'a-mi-ni-si-jo' has the Greek cognate 'αμνισιος', which is the ethnic name of 'Amnisos'. Therefore, it is classified as a toponym (place name). The ending '-jo' suggests a thematic noun in -o."
a-mi-ni-so,3,0,0,1.0,"The word 'a-mi-ni-so' has the Greek cognate 'Αμνισος' (Amnisos), which is a toponym (place name). The Linear B word ends in '-o', which is characteristic of thematic nouns in -o. The lexicon entry confirms that 'a-mi-ni-so' is a toponym."
a-mi-ni-so-de,3,0,0,0.95,"The word 'a-mi-ni-so-de' has the cognates 'αμνισονδε' and 'αμνισος'. 'αμνισος' is a place name (Amnisos). The suffix '-de' is an allative/demonstrative suffix. Therefore, the word is a toponym. The ending '-so' suggests a thematic noun in -o."
a-mo,5,0,0,0.95,"The word 'a-mo' has Greek cognates related to 'harmos' (joint), 'harmata' (chariot), and 'harmozi' (fitting). The lexicon entries also point to 'wheel' or 'chariot'. The ending '-o' suggests a thematic noun in -o. Therefore, it's a common noun referring to a part of a chariot or wheel."
a-mo-i-je-to,5,2,0,0.9,"The word 'a-mo-i-je-to' has the cognate 'αρμοιεντοι'. This suggests it is an adjective. The ending '-to' suggests a thematic inflection in -o. Therefore, it is classified as a common adjective with thematic inflection in -o."
a-mo-ra-ma,5,0,1,0.85,"The word 'a-mo-ra-ma' has cognates like 'αρμαλια', 'αμορμαια', and 'αμωραμαρ'. The lexicon entries suggest 'rations supplies' or 'from day to day, daily?'. Given these meanings and the -a ending, it is likely a common noun, thematic in -a. The cognates suggest a plural form or a collective noun, which aligns with the thematic -a inflection."
a-mo-si,5,0,2,0.9,"The word 'a-mo-si' has the cognate 'αρμοσι', which means 'wheel/chariot undercarriage'. The ending '-si' suggests a plural form. Given the cognate and the plural ending, it is likely an athematic noun. The athematic declension can have a plural nominative/accusative ending in -e or -a, but also in -si/-ti. Therefore, it is classified as a common noun (wheel/chariot part) with athematic inflection."
a-mo-ta,5,0,1,0.9,"The word 'a-mo-ta' has the cognate 'αρμοτα', which refers to 'wheels' or 'undercarriage'. The ending '-a' suggests that it is a thematic noun in -a. Therefore, it is classified as a common noun with thematic inflection in -a."
a-mo-ta-jo,0,0,0,0.9,"The word 'a-mo-ta-jo' has cognates 'αρμοτεων' and 'αρμοτεωνανδε'. Chadwick & Ventris identify it as an anthroponym, relating it to Ἁρμόστας. The ending '-jo' suggests a thematic noun in -o, likely a genitive form. Therefore, it's classified as an anthroponym (word_type=0), noun (part_of_speech=0), and thematic in -o (inflection=0)."
a-mo-te,5,0,2,0.9,"The word 'a-mo-te' has the cognate 'αρμοτε', which refers to the 'wheel/chariot undercarriage'. The ending '-te' suggests an athematic noun. The lexicon confirms that it is a common word."
a-mo-te-jo-na-de,5,0,0,0.9,"The word 'a-mo-te-jo-na-de' has the cognate 'αρμοτεωνανδε'. The suffix '-de' should be ignored. The remaining part 'a-mo-te-jo-na' corresponds to 'αρμοτεωναν', which refers to the workshop of 'armota' or 'to the wheelwrights' workshops'. The ending '-na' suggests a plural form. The word is a common noun, and the ending suggests a thematic noun in -o (plural form)."
a-mo-te-re,5,0,2,0.9,"The word 'a-mo-te-re' has cognates 'αρμοστηρ' and 'αρμοστηρες'. These cognates suggest a noun meaning something related to fitting or joining. The ending '-re' could be interpreted as a dative singular or nominative dual of a noun in -ter, as suggested by Chadwick & Ventris. The ending is not thematic in -o or -a. Therefore, it is classified as an athematic noun."
a-mo-te-wi-ja,5,2,1,0.9,"The word 'a-mo-te-wi-ja' has cognates 'αρμοθηfια/αρμοθηfia'. The Linear B word ends in '-ja', which corresponds to the '-ia' ending in the Greek cognates. The lexicons describe it as an adjective describing a ewer or a pot. Therefore, it is classified as an adjective. The ending '-ja' suggests a thematic inflection in -a."
a-mu-ta-wo,0,0,0,0.95,"The word 'a-mu-ta-wo' has the Greek cognate 'Αμυνθαfων', which is a personal name (anthroponym). The Linear B word ends in '-wo', corresponding to the thematic -o ending, suggesting a thematic noun in -o. Chadwick & Ventris also identify it as an anthroponym and suggest it is the genitive of a-mu-ta-wo. The ending -o is consistent with the genitive singular of thematic nouns in -o."
a-na-i-ta,5,2,1,0.9,"The word 'a-na-i-ta' has cognates 'αναιτα/αναιτον'. These are adjectives meaning 'guiltless, innocent'. The ending '-a' suggests that it is an adjective, and the inflection is thematic in -a."
